        Frequency / MHz                Port 1 [1] (8)/arg,degrees
                  169.22                      -47.356614
                  169.48                      -46.692511
                  169.74                      -45.950907
                     170                      -45.130546
                  170.26                      -44.230075
                  170.52                      -43.248149
                  170.78                      -42.183701
                  171.04                      -41.036279
                   171.3                      -39.806357
                  171.56                      -38.495517
                  171.82                      -37.106504
                  172.08                      -35.643223
                  172.34                      -34.110799
                   172.6                      -32.515761
                  172.86                      -30.866334
                  173.12                      -29.172721
                  173.38                      -27.447219
                  173.64                      -25.704079
                   173.9                      -23.959129
                  174.16                      -22.229278
                  174.42                      -20.532062
                  174.68                      -18.885329
                  174.94                      -17.307041
                   175.2                      -15.815086
                  175.46                      -14.426995
                  175.72                      -13.159524
                  175.98                      -12.028211
                  176.24                      -11.047035
                   176.5                      -10.228345
                  176.76                      -9.5830422
                  177.02                      -9.1209277
                  177.28                      -8.8510251
                  177.54                      -8.7817306
                   177.8                      -8.9207483
                  178.06                      -9.2748935
                  178.32                      -9.8499037
                  178.58                      -10.650353
                  178.84                      -11.679643
                   179.1                      -12.939897
                  179.36                      -14.431557
                  179.62                      -16.152515
                  179.88                      -18.096805
                  180.14                      -20.253072
                   180.4                      -22.603127
                  180.66                      -25.120853
                  180.92                      -27.771624
                  181.18                      -30.512252
                  181.44                      -33.291521
                   181.7                      -36.051514
                  181.96                      -38.730007
                  182.22                      -41.264124
                  182.48                      -43.594981
                  182.74                      -45.672635
                     183                      -47.460366
                  183.26                      -48.937502
                  183.52                      -50.100403
                  183.78                      -50.961679
                  184.04                      -51.547974
                   184.3                      -51.896704
                  184.56                      -52.052133
                  184.82                      -52.061188
                  185.08                      -51.969444
                  185.34                      -51.817782
                   185.6                      -51.640116
                  185.86                       -51.46239
                  186.12                      -51.302722
                  186.38                      -51.172365
                  186.64                      -51.077035
                   186.9                      -51.018237
                  187.16                      -50.994393
                  187.42                      -51.001725
                  187.68                      -51.034963
                  187.94                       -51.08793
                   188.2                      -51.154046
                  188.46                      -51.226735
                  188.72                      -51.299691
                  188.98                      -51.367011
                  189.24                      -51.423196
