        Frequency / MHz                Port 1 [1] (11)/arg,degrees
                   141.4                      -22.066199
                  141.66                      -22.783473
                  141.92                      -23.405139
                  142.18                      -23.928766
                  142.44                      -24.352204
                   142.7                      -24.673477
                  142.96                      -24.890677
                  143.22                      -25.001884
                  143.48                      -25.005094
                  143.74                      -24.898179
                     144                      -24.678882
                  144.26                      -24.344856
                  144.52                      -23.893749
                  144.78                      -23.323324
                  145.04                      -22.631624
                   145.3                      -21.817179
                  145.56                       -20.87927
                  145.82                      -19.818252
                  146.08                      -18.635938
                  146.34                       -17.33603
                   146.6                      -15.924563
                  146.86                      -14.410328
                  147.12                      -12.805209
                  147.38                      -11.124399
                  147.64                      -9.3864433
                   147.9                      -7.6130725
                  148.16                      -5.8288026
                  148.42                       -4.060304
                  148.68                      -2.3355656
                  148.94                     -0.68292091
                   149.2                      0.86997424
                  149.46                       2.2971075
                  149.72                       3.5749318
                  149.98                       4.6829864
                  150.24                       5.6042998
                   150.5                       6.3255979
                  150.76                       6.8373586
                  151.02                       7.1337628
                  151.28                       7.2125883
                  151.54                       7.0750791
                   151.8                       6.7258129
                  152.06                       6.1725747
                  152.32                       5.4262351
                  152.58                       4.5006168
                  152.84                       3.4123213
                   153.1                        2.180485
                  153.36                       0.8264325
                  153.62                      -0.6267885
                  153.88                      -2.1549843
                  154.14                      -3.7334757
                   154.4                      -5.3377932
                  154.66                      -6.9443522
                  154.92                      -8.5310569
                  155.18                      -10.077793
                  155.44                      -11.566787
                   155.7                      -12.982814
                  155.96                      -14.313268
                  156.22                      -15.548096
                  156.48                      -16.679631
                  156.74                      -17.702348
                     157                      -18.612589
                  157.26                      -19.408271
                  157.52                       -20.08862
                  157.78                      -20.653923
                  158.04                      -21.105318
                   158.3                      -21.444606
                  158.56                      -21.674104
                  158.82                      -21.796522
                  159.08                       -21.81488
                  159.34                      -21.732459
                   159.6                      -21.552775
                  159.86                      -21.279581
                  160.12                      -20.916873
                  160.38                      -20.468907
                  160.64                      -19.940219
                   160.9                      -19.335645
                  161.16                      -18.660358
                  161.42                      -17.919888
                  161.68                      -17.120156
                  161.94                      -16.267477
                   162.2                      -15.368556
                  162.46                       -14.43046
                  162.72                      -13.460572
                  162.98                      -12.466535
                  163.24                      -11.456191
                   163.5                      -10.437494
                  163.76                      -9.4184325
                  164.02                      -8.4069169
                  164.28                      -7.4106772
                  164.54                      -6.4371535
                   164.8                         -5.4934
                  165.06                      -4.5860054
                  165.32                      -3.7210325
                  165.58                      -2.9039726
                  165.84                       -2.139714
                   166.1                      -1.4325242
                  166.36                      -0.7860475
                  166.62                     -0.20332334
                  166.88                      0.31317613
                  167.14                      0.76149179
                   167.4                       1.1401142
                  167.66                        1.447918
                  167.92                       1.6840992
                  168.18                       1.8481138
                  168.44                       1.9396176
                   168.7                       1.9584061
                  168.96                        1.904356
                  169.22                       1.7773759
                  169.48                       1.5773706
                  169.74                       1.3042245
                     170                      0.95780308
                  170.26                       0.5379691
                  170.52                     0.044611243
                  170.78                     -0.52231581
                  171.04                      -1.1627366
                   171.3                      -1.8763816
                  171.56                      -2.6626926
                  171.82                      -3.5207112
                  172.08                      -4.4489551
                  172.34                      -5.4452929
                   172.6                      -6.5068224
                  172.86                      -7.6297592
                  173.12                      -8.8093362
                  173.38                       -10.03972
                  173.64                       -11.31395
                   173.9                      -12.623917
                  174.16                      -13.960382
                  174.42                      -15.313055
                  174.68                      -16.670721
                  174.94                      -18.021407
                   175.2                      -19.352591
                  175.46                      -20.651414
                  175.72                      -21.904921
                  175.98                      -23.100282
                  176.24                      -24.225016
                   176.5                      -25.267191
                  176.76                      -26.215585
                  177.02                      -27.059812
                  177.28                      -27.790401
                  177.54                       -28.39885
                   177.8                      -28.877645
                  178.06                       -29.22028
                  178.32                      -29.421275
                  178.58                      -29.476213
                  178.84                      -29.381783
                   179.1                       -29.13586
                  179.36                      -28.737599
                  179.62                       -28.18757
                  179.88                      -27.487927
                  180.14                      -26.642594
                   180.4                      -25.657473
                  180.66                      -24.540622
                  180.92                        -23.3024
                  181.18                      -21.955515
                  181.44                      -20.514978
                   181.7                       -18.99793
                  181.96                      -17.423336
                  182.22                      -15.811554
                  182.48                      -14.183797
                  182.74                      -12.561514
                     183                      -10.965739
                  183.26                      -9.4164669
                  183.52                      -7.9321035
                  183.78                      -6.5290424
                  184.04                      -5.2213859
                   184.3                      -4.0208131
                  184.56                      -2.9365746
                  184.82                      -1.9755851
                  185.08                      -1.1425838
                  185.34                     -0.44033939
                   185.6                       0.1301195
                  185.86                      0.56926166
                  186.12                      0.87881503
                  186.38                       1.0615471
                  186.64                        1.121078
                   186.9                       1.0617344
                  187.16                      0.88844346
                  187.42                      0.60665934
                  187.68                      0.22231058
                  187.94                     -0.25824385
                   188.2                     -0.82825621
                  188.46                      -1.4806315
                  188.72                      -2.2079674
                  188.98                      -3.0025915
                  189.24                      -3.8565963
                   189.5                      -4.7618772
                  189.76                      -5.7101773
                  190.02                      -6.6931449
                  190.28                      -7.7024026
                  190.54                      -8.7296263
                   190.8                      -9.7666287
                  191.06                      -10.805443
                  191.32                        -11.8384
                  191.58                      -12.858201
                  191.84                      -13.857975
                   192.1                      -14.831336
                  192.36                       -15.77242
                  192.62                      -16.675915
                  192.88                      -17.537076
                  193.14                      -18.351731
                   193.4                      -19.116267
                  193.66                      -19.827611
                  193.92                        -20.4832
                  194.18                      -21.080936
                  194.44                      -21.619148
                   194.7                      -22.096541
                  194.96                      -22.512141
                  195.22                      -22.865249
                  195.48                       -23.15538
                  195.74                      -23.382211
                     196                      -23.545524
                  196.26                      -23.645152
                  196.52                      -23.680932
                  196.78                      -23.652661
                  197.04                      -23.560065
                   197.3                      -23.402768
                  197.56                      -23.180282
                  197.82                      -22.891998
                  198.08                       -22.53719
                  198.34                      -22.115043
                   198.6                      -21.624687
                  198.86                      -21.065257
                  199.12                      -20.435968
                  199.38                      -19.736208
                  199.64                      -18.965644
                   199.9                      -18.124343
                  200.16                      -17.212903
                  200.42                      -16.232599
                  200.68                      -15.185536
                  200.94                      -14.074796
                   201.2                      -12.904588
                  201.46                      -11.680369
                  201.72                      -10.408942
                  201.98                      -9.0985149
                  202.24                      -7.7587137
                   202.5                      -6.4005442
                  202.76                      -5.0362975
                  203.02                      -3.6793961
                  203.28                      -2.3441838
                  203.54                      -1.0456664
                   203.8                      0.20078029
                  204.06                       1.3797178
                  204.32                       2.4759488
                  204.58                        3.474801
                  204.84                       4.3623818
                   205.1                       5.1257969
                  205.36                       5.7533345
                  205.62                       6.2346156
                  205.88                       6.5607176
                  206.14                       6.7242795
                   206.4                       6.7195982
                  206.66                       6.5427296
                  206.92                       6.1916013
                  207.18                       5.6661436
                  207.44                       4.9684339
                   207.7                       4.1028422
                  207.96                        3.076159
                  208.22                       1.8976795
                  208.48                      0.57921892
                  208.74                     -0.86496599
                     209                      -2.4183689
                  209.26                      -4.0625492
                  209.52                      -5.7775698
                  209.78                      -7.5425397
                  210.04                      -9.3362279
                   210.3                      -11.137702
                  210.56                      -12.926934
                  210.82                      -14.685334
                  211.08                      -16.396155
                  211.34                      -18.044771
                   211.6                      -19.618811
                  211.86                      -21.108167
                  212.12                      -22.504909
                  212.38                      -23.803106
                  212.64                      -24.998609
                   212.9                      -26.088798
                  213.16                      -27.072323
                  213.42                      -27.948861
                  213.68                      -28.718898
                  213.94                      -29.383534
                   214.2                      -29.944333
                  214.46                      -30.403196
                  214.72                       -30.76226
                  214.98                      -31.023822
                  215.24                      -31.190275
                   215.5                       -31.26408
                  215.76                      -31.247743
                  216.02                      -31.143811
                  216.28                      -30.954884
                  216.54                      -30.683626
                   216.8                      -30.332786
                  217.06                      -29.905211
                  217.32                      -29.403875
                  217.58                      -28.831906
                  217.84                      -28.192622
                   218.1                      -27.489566
                  218.36                      -26.726536
                  218.62                      -25.907617
                  218.88                      -25.037195
                  219.14                      -24.119969
                   219.4                      -23.160964
                  219.66                       -22.16553
                  219.92                      -21.139347
                  220.18                      -20.088414
                  220.44                      -19.019019
                   220.7                      -17.937708
                  220.96                      -16.851228
                  221.22                      -15.766478
                  221.48                      -14.690448
                  221.74                      -13.630166
                     222                       -12.59264
                  222.26                      -11.584798
                  222.52                      -10.613416
                  222.78                      -9.6850591
                  223.04                      -8.8060183
                   223.3                       -7.982263
                  223.56                      -7.2194062
                  223.82                      -6.5226782
                  224.08                      -5.8969024
                  224.34                      -5.3464706
                   224.6                      -4.8753154
                  224.86                      -4.4868865
                  225.12                      -4.1841328
                  225.38                      -3.9694932
                  225.64                      -3.8448896
                   225.9                      -3.8117169
                  226.16                      -3.8708211
                  226.42                      -4.0224671
                  226.68                      -4.2662987
                  226.94                      -4.6013005
                   227.2                      -5.0257677
                  227.46                      -5.5372834
                  227.72                      -6.1326991
                  227.98                      -6.8081137
                  228.24                      -7.5588462
                   228.5                       -8.379413
                  228.76                      -9.2635189
                  229.02                      -10.204076
                  229.28                      -11.193257
                  229.54                      -12.222572
                   229.8                       -13.28297
                  230.06                       -14.36493
                  230.32                      -15.458568
                  230.58                      -16.553729
                  230.84                       -17.64011
                   231.1                      -18.707392
                  231.36                      -19.745401
                  231.62                      -20.744261
                  231.88                      -21.694527
                  232.14                      -22.587285
                   232.4                      -23.414198
                  232.66                      -24.167519
                  232.92                        -24.8401
                  233.18                      -25.425392
                  233.44                       -25.91747
                   233.7                      -26.311063
                  233.96                       -26.60158
                  234.22                      -26.785126
                  234.48                      -26.858495
                  234.74                       -26.81916
                     235                       -26.66527
                  235.26                      -26.395665
                  235.52                      -26.009935
                  235.78                      -25.508498
                  236.04                      -24.892692
                   236.3                      -24.164872
                  236.56                      -23.328492
                  236.82                      -22.388172
                  237.08                      -21.349748
                  237.34                      -20.220314
                   237.6                      -19.008233
                  237.86                      -17.723123
                  238.12                      -16.375781
                  238.38                      -14.978061
                  238.64                      -13.542675
                   238.9                      -12.082957
                  239.16                      -10.612586
                  239.42                      -9.1453052
                  239.68                       -7.694645
                  239.94                      -6.2736599
                   240.2                      -4.8946924
                  240.46                      -3.5691697
                  240.72                      -2.3074436
                  240.98                      -1.1186845
                  241.24                    -0.010831918
                   241.5                       1.0094005
                  241.76                       1.9364799
                  242.02                       2.7659829
                  242.28                       3.4945113
                  242.54                       4.1196026
                   242.8                       4.6396386
                  243.06                       5.0537515
                  243.32                       5.3617298
                  243.58                       5.5639304
                  243.84                       5.6612006
                   244.1                       5.6548182
                  244.36                       5.5464484
                  244.62                       5.3381156
                  244.88                        5.032184
                  245.14                       4.6313421
                   245.4                       4.1385909
                  245.66                        3.557237
                  245.92                       2.8908947
                  246.18                       2.1434958
                  246.44                       1.3193059
                   246.7                      0.42293878
                  246.96                     -0.54063469
                  247.22                      -1.5660886
                  247.48                      -2.6477534
                  247.74                      -3.7796338
                     248                      -4.9554317
                  248.26                      -6.1685753
                  248.52                      -7.4122573
                  248.78                      -8.6794866
                  249.04                       -9.963155
                   249.3                      -11.256115
                  249.56                       -12.55126
                  249.82                      -13.841609
                  250.08                      -15.120377
                  250.34                      -16.381043
                   250.6                      -17.617419
                  250.86                      -18.823704
                  251.12                      -19.994537
                  251.38                      -21.125044
                  251.64                      -22.210856
                   251.9                      -23.248123
                  252.16                      -24.233503
                  252.42                      -25.164149
                  252.68                      -26.037685
                  252.94                      -26.852177
                   253.2                      -27.606108
                  253.46                      -28.298334
                  253.72                      -28.928043
                  253.98                      -29.494705
                  254.24                      -29.998013
                   254.5                      -30.437845
                  254.76                      -30.814214
                  255.02                      -31.127234
                  255.28                      -31.377088
                  255.54                      -31.563992
                   255.8                      -31.688168
                  256.06                      -31.749813
                  256.32                      -31.749087
                  256.58                      -31.686101
                  256.84                      -31.560929
                   257.1                      -31.373618
                  257.36                      -31.124214
                  257.62                      -30.812788
                  257.88                      -30.439472
                  258.14                      -30.004503
                   258.4                      -29.508281
                  258.66                      -28.951447
                  258.92                      -28.334957
                  259.18                      -27.660177
                  259.44                      -26.928967
                   259.7                      -26.143769
                  259.96                      -25.307687
                  260.22                      -24.424566
                  260.48                      -23.499061
                  260.74                      -22.536692
                     261                       -21.54387
                  261.26                      -20.527888
                  261.52                      -19.496874
                  261.78                        -18.4597
                  262.04                      -17.425855
                   262.3                      -16.405282
                  262.56                      -15.408195
                  262.82                      -14.444858
                  263.08                       -13.52536
                  263.34                      -12.659371
                   263.6                      -11.855911
                  263.86                      -11.123131
                  264.12                      -10.468141
                  264.38                      -9.8968633
                  264.64                      -9.4139362
                   264.9                      -9.0226521
                  265.16                      -8.7249299
                  265.42                      -8.5213223
                  265.68                      -8.4110576
                  265.94                      -8.3921147
                   266.2                      -8.4613288
                  266.46                       -8.614518
                  266.72                      -8.8466235
                  266.98                      -9.1518538
                  267.24                      -9.5238316
                   267.5                      -9.9557395
                  267.76                      -10.440468
                  268.02                      -10.970761
                  268.28                       -11.53935
                  268.54                       -12.13908
                   268.8                      -12.763006
                  269.06                      -13.404472
                  269.32                      -14.057163
                  269.58                      -14.715149
                  269.84                       -15.37291
                   270.1                      -16.025349
                  270.36                      -16.667801
                  270.62                      -17.296013
                  270.88                      -17.906124
                  271.14                      -18.494626
                   271.4                      -19.058336
                  271.66                      -19.594365
                  271.92                      -20.100098
                  272.18                      -20.573172
                  272.44                      -21.011467
                   272.7                      -21.413081
                  272.96                      -21.776315
                  273.22                      -22.099659
                  273.48                      -22.381785
                  273.74                      -22.621554
                     274                      -22.818018
                  274.26                       -22.97043
                  274.52                      -23.078243
                  274.78                       -23.14111
                  275.04                      -23.158879
                   275.3                       -23.13159
                  275.56                      -23.059485
                  275.82                      -22.943012
                  276.08                      -22.782833
                  276.34                      -22.579821
                   276.6                      -22.335054
                  276.86                        -22.0498
                  277.12                       -21.72551
                  277.38                      -21.363808
                  277.64                      -20.966487
                   277.9                      -20.535507
                  278.16                      -20.072976
                  278.42                      -19.581131
                  278.68                       -19.06231
                  278.94                      -18.518922
                   279.2                      -17.953427
                  279.46                      -17.368317
                  279.72                      -16.766103
                  279.98                      -16.149291
                  280.24                      -15.520369
                   280.5                      -14.881773
                  280.76                      -14.235875
                  281.02                       -13.58497
                  281.28                       -12.93128
                  281.54                      -12.276964
                   281.8                      -11.624131
                  282.06                      -10.974849
                  282.32                      -10.331149
                  282.58                      -9.6950368
                  282.84                      -9.0685024
                   283.1                      -8.4535436
                  283.36                      -7.8521897
                  283.62                      -7.2665217
                  283.88                      -6.6986825
                  284.14                      -6.1508766
                   284.4                       -5.625363
                  284.66                      -5.1244482
                  284.92                      -4.6504826
                  285.18                      -4.2058584
                  285.44                      -3.7930027
                   285.7                      -3.4143606
                  285.96                       -3.072366
                  286.22                      -2.7694069
                  286.48                      -2.5077896
                  286.74                      -2.2897094
                     287                      -2.1172251
                  287.26                      -1.9922344
                  287.52                      -1.9164413
                  287.78                      -1.8913157
                  288.04                      -1.9180461
                   288.3                      -1.9974963
                  288.56                      -2.1301693
                  288.82                      -2.3161831
                  289.08                       -2.555252
                  289.34                      -2.8466695
                   289.6                      -3.1892881
                  289.86                      -3.5815011
                  290.12                      -4.0212327
                  290.38                      -4.5059457
                  290.64                      -5.0326694
                   290.9                      -5.5980452
                  291.16                        -6.19838
                  291.42                      -6.8297033
