        Frequency / MHz                S1,1/abs,dB
                  277.12                       -15.12579
                  277.38                      -15.433826
               277.63998                      -15.752177
               277.89999                      -16.080925
                  278.16                      -16.420104
               278.42001                      -16.769651
               278.67999                      -17.129332
                  278.94                      -17.498679
               279.20001                      -17.876913
               279.45999                      -18.262871
                  279.72                      -18.654954
               279.98001                      -19.051075
               280.23999                      -19.448633
                   280.5                      -19.844494
               280.76001                      -20.234988
               281.01999                      -20.615912
                  281.28                      -20.982551
               281.54001                      -21.329733
               281.79999                      -21.651941
                  282.06                       -21.94351
               282.32001                      -22.198953
               282.57999                      -22.413392
                  282.84                      -22.583077
               283.10001                      -22.705886
               283.35999                      -22.781682
                  283.62                      -22.812438
                  283.88                      -22.802043
               284.13998                      -22.755866
               284.39999                      -22.680136
                  284.66                      -22.581311
               284.92001                      -22.465543
               285.17999                        -22.3383
                  285.44                      -22.204178
               285.70001                      -22.066856
               285.95999                      -21.929167
                  286.22                      -21.793219
               286.48001                      -21.660523
               286.73999                      -21.532097
                     287                      -21.408525
               287.26001                       -21.28998
               287.51999                      -21.176208
                  287.78                      -21.066502
               288.04001                      -20.959702
               288.29999                      -20.854203
                  288.56                      -20.748042
               288.82001                      -20.639014
               289.07999                      -20.524845
                  289.34                      -20.403384
               289.60001                      -20.272793
               289.85999                      -20.131701
                  290.12                      -19.979286
                  290.38                      -19.815309
               290.63998                      -19.640057
               290.89999                      -19.454265
                  291.16                         -19.259
               291.42001                      -19.055573
               291.67999                      -18.845466
                  291.94                      -18.630292
               292.20001                      -18.411794
               292.45999                      -18.191838
                  292.72                      -17.972426
               292.98001                      -17.755677
               293.23999                      -17.543811
                   293.5                      -17.339086
               293.76001                      -17.143763
               294.01999                      -16.960047
                  294.28                      -16.790048
               294.54001                      -16.635771
               294.79999                      -16.499121
                  295.06                      -16.381931
               295.32001                      -16.286023
               295.57999                      -16.213255
                  295.84                      -16.165595
               296.10001                      -16.145166
               296.35999                      -16.154292
                  296.62                      -16.195511
                  296.88                      -16.271581
               297.13998                      -16.385455
               297.39999                      -16.540247
                  297.66                      -16.739186
               297.92001                       -16.98555
               298.17999                      -17.282601
                  298.44                      -17.633473
               298.70001                      -18.041037
               298.95999                      -18.507654
                  299.22                      -19.034771
               299.48001                      -19.622215
               299.73999                      -20.266966
                     300                      -20.961107

