        Frequency / MHz                Port 1 [1] (28)/abs,linear
                  152.58                       1023.2036
                  152.84                       1032.4721
                   153.1                       1035.3961
                  153.36                       1031.2704
                  153.62                       1019.8374
                  153.88                       1002.2657
                  154.14                       981.09696
                   154.4                       959.15997
                  154.66                         938.346
                  154.92                       919.05845
                  155.18                       900.50982
                  155.44                       881.52825
                   155.7                       861.32168
                  155.96                       839.74677
                  156.22                       817.03261
                  156.48                       793.32531
                  156.74                       768.48652
                     157                       742.28737
                  157.26                       714.78278
                  157.52                       686.51358
                  157.78                       658.35931
                  158.04                       631.16687
                   158.3                       605.42755
                  158.56                       581.18804
                  158.82                       558.20156
                  159.08                       536.18971
                  159.34                       515.04542
                   159.6                        494.8689
                  159.86                       475.84944
                  160.12                       458.09985
                  160.38                       441.55764
                  160.64                       426.00612
                   160.9                        411.1888
                  161.16                       396.93683
                  161.42                         383.228
                  161.68                       370.14772
                  161.94                       357.78885
                   162.2                       346.16068
                  162.46                       335.16262
                  162.72                       324.63241
                  162.98                       314.43174
                  163.24                       304.51128
                   163.5                       294.91419
                  163.76                       285.72146
                  164.02                       276.97947
                  164.28                       268.65699
                  164.54                       260.65678
                   164.8                       252.87028
                  165.06                       245.23726
                  165.32                       237.77072
                  165.58                       230.53303
                  165.84                       223.58241
                   166.1                       216.92643
                  166.36                       210.51189
                  166.62                       204.25587
                  166.88                       198.09546
                  167.14                       192.02214
                   167.4                       186.07878
                  167.66                       180.32332
                  167.92                       174.78483
                  168.18                       169.44111
                  168.44                       164.23177
                   168.7                       159.09682
                  168.96                       154.01393
                  169.22                       149.00924
                  169.48                       144.13547
                  169.74                       139.43338
                     170                       134.90281
                  170.26                       130.50261
                  170.52                       126.17885
                  170.78                       121.90159
                  171.04                       117.68469
                   171.3                       113.57557
                  171.56                        109.6228
                  171.82                       105.84409
                  172.08                       102.21688
                  172.34                        98.69802
                   172.6                       95.258535
                  172.86                       91.908985
                  173.12                       88.697348
                  173.38                        85.68119
                  173.64                        82.89386
                   173.9                       80.328973
                  174.16                       77.954779
                  174.42                       75.748285
                  174.68                       73.723911
                  174.94                       71.935005
                   175.2                       70.446345
                  175.46                       69.297406
                  175.72                       68.483777
                  175.98                       67.971036
                  176.24                        67.73031
                   176.5                       67.767536
                  176.76                       68.123245
                  177.02                       68.842799
                  177.28                       69.940272
                  177.54                       71.384277
                   177.8                       73.116682
                  178.06                       75.089451
                  178.32                       77.291619
                  178.58                       79.746892
                  178.84                       82.484961
                   179.1                       85.508968
                  179.36                       88.783633
                  179.62                       92.252349
                  179.88                       95.870168
                  180.14                       99.628688
                   180.4                       103.55523
                  180.66                       107.68725
                  180.92                       112.04055
                  181.18                       116.59408
                  181.44                       121.30174
                   181.7                       126.12285
                  181.96                       131.04962
                  182.22                       136.11235
                  182.48                        141.3583
                  182.74                       146.81877
                     183                       152.48753
                  183.26                       158.32597
                  183.52                       164.29191
                  183.78                        170.3724
                  184.04                       176.59756
                   184.3                       183.02448
                  184.56                       189.70115
                  184.82                       196.63503
                  185.08                        203.7888
                  185.34                       211.10823
                   185.6                       218.56516
                  185.86                       226.18719
                  186.12                       234.05204
                  186.38                       242.24767
                  186.64                       250.82286
                   186.9                       259.76098
                  187.16                       268.99567
                  187.42                        278.4605
                  187.68                       288.14194
                  187.94                       298.10039
                   188.2                       308.44302
                  188.46                       319.26463
                  188.72                        330.5953
                  188.98                       342.39094
                  189.24                       354.57531
                   189.5                       367.10776
                  189.76                       380.03139
                  190.02                       393.46565
                  190.28                        407.5441
                  190.54                       422.33748
                   190.8                       437.81541
                  191.06                       453.87702
                  191.32                       470.43529
                  191.58                       487.49974
                  191.84                       505.19582
                   192.1                       523.69854
                  192.36                       543.11893
                  192.62                        563.4205
                  192.88                        584.4292
                  193.14                       605.94035
                   193.4                       627.85431
                  193.66                       650.23875
                  193.92                       673.25558
                  194.18                       696.98759
                  194.44                       721.28218
                   194.7                       745.73234
                  194.96                       769.82814
                  195.22                       793.18396
                  195.48                       815.66688
                  195.74                       837.30535
                     196                       858.02709
                  196.26                       877.42755
                  196.52                       894.77211
                  196.78                        909.2709
                  197.04                       920.44172
                   197.3                       928.27443
                  197.56                       933.05595
                  197.82                       935.00371
                  198.08                       934.02033
                  198.34                       929.77717
                   198.6                       922.05678
                  198.86                        911.0644
                  199.12                       897.44246
                  199.38                       881.97903
                  199.64                       865.25137
                   199.9                       847.47044
                  200.16                       828.60967
                  200.42                       808.68376
                  200.68                       787.94953
                  200.94                        766.8848
                   201.2                       745.98584
                  201.46                       725.55258
                  201.72                        705.6142
                  201.98                       686.02933
                  202.24                       666.67301
                   202.5                       647.57435
                  202.76                       628.91793
                  203.02                       610.92694
                  203.28                       593.72468
                  203.54                       577.27193
                   203.8                       561.41403
                  204.06                       545.99571
                  204.32                       530.96087
                  204.58                       516.37246
                  204.84                       502.34796
                   205.1                       488.96357
                  205.36                       476.19468
                  205.62                       463.92844
                  205.88                       452.03393
                  206.14                       440.43831
                   206.4                       429.15741
                  206.66                       418.26414
                  206.92                       407.82164
                  207.18                       397.82896
                  207.44                       388.21433
                   207.7                       378.87683
                  207.96                       369.74515
                  208.22                       360.81258
                  208.48                         352.126
                  208.74                       343.73997
                     209                       335.66915
                  209.26                       327.87128
                  209.52                       320.27005
                  209.78                       312.80018
                  210.04                       305.44287
                   210.3                       298.22797
                  210.56                       291.20395
                  210.82                       284.39854
                  211.08                       277.79798
                  211.34                       271.35869
                   211.6                       265.04227
                  211.86                       258.84878
                  212.12                       252.82455
                  212.38                       247.03891
                  212.64                        241.5448
                   212.9                       236.34837
                  213.16                       231.40597
                  213.42                       226.64909
                  213.68                       222.01984
                  213.94                       217.49342
                   214.2                       213.07459
                  214.46                       208.77388
                  214.72                       204.58293
                  214.98                       200.46776
                  215.24                       196.38465
                   215.5                       192.30632
                  215.76                       188.23872
                  216.02                       184.21545
                  216.28                        180.2736
                  216.54                       176.42794
                   216.8                       172.66165
                  217.06                       168.93979
                  217.32                       165.23575
                  217.58                       161.55124
                  217.84                       157.91546
                   218.1                       154.36412
                  218.36                       150.91371
                  218.62                       147.54961
                  218.88                       144.23711
                  219.14                       140.94737
                   219.4                       137.67935
                  219.66                       134.46149
                  219.92                       131.33139
                  220.18                       128.30838
                  220.44                       125.37912
                   220.7                        122.5076
                  220.96                        119.6629
                  221.22                       116.84436
                  221.48                       114.08483
                  221.74                       111.42854
                     222                       108.89926
                  222.26                       106.48255
                  222.52                       104.13688
                  222.78                         101.827
                  223.04                       99.555189
                   223.3                       97.365567
                  223.56                       95.316055
                  223.82                       93.437025
                  224.08                       91.708001
                  224.34                       90.072952
                   224.6                       88.486212
                  224.86                       86.955498
                  225.12                       85.547015
                  225.38                       84.343859
                  225.64                       83.384927
                   225.9                       82.630997
                  226.16                       81.989794
                  226.42                       81.388561
                  226.68                       80.842088
                  226.94                       80.460082
                   227.2                       80.377456
                  227.46                        80.64964
                  227.72                       81.191027
                  227.98                       81.815143
                  228.24                       82.365383
                   228.5                       82.853716
                  228.76                       83.504679
                  229.02                       84.651954
                  229.28                       86.530856
                  229.54                       89.093122
                   229.8                       91.971903
                  230.06                       94.633766
                  230.32                       96.643081
                  230.58                       97.900024
                  230.84                       98.714305
                   231.1                       99.655438
                  231.36                       101.25528
                  231.62                       103.73919
                  231.88                       106.94348
                  232.14                       110.45031
                   232.4                       113.84118
                  232.66                       116.92004
                  232.92                       119.78776
                  233.18                       122.73513
                  233.44                       126.03296
                   233.7                       129.76036
                  233.96                        133.7753
                  234.22                       137.82921
                  234.48                       141.73936
                  234.74                       145.50592
                     235                       149.30056
                  235.26                       153.33987
                  235.52                        157.7355
                  235.78                       162.42407
                  236.04                       167.21839
                   236.3                       171.93993
                  236.56                       176.54209
                  236.82                       181.14112
                  237.08                       185.93362
                  237.34                       191.05963
                   237.6                        196.5077
                  237.86                       202.12559
                  238.12                       207.72708
                  238.38                       213.22281
                  238.64                       218.68538
                   238.9                       224.30158
                  239.16                       230.24375
                  239.42                       236.55071
                  239.68                       243.10096
                  239.94                       249.69655
                   240.2                        256.2025
                  240.46                       262.64711
                  240.72                       269.20993
                  240.98                        276.1018
                  241.24                       283.42001
                   241.5                       291.07998
                  241.76                       298.87212
                  242.02                       306.60892
                  242.28                       314.26403
                  242.54                       322.00321
                   242.8                       330.07795
                  243.06                       338.65331
                  243.32                       347.69042
                  243.58                       356.96745
                  243.84                       366.23122
                   244.1                       375.38116
                  244.36                       384.55497
                  244.62                       394.04519
                  244.88                       404.09795
                  245.14                       414.73436
                   245.4                       425.72207
                  245.66                       436.72565
                  245.92                       447.54321
                  246.18                       458.26356
                  246.44                        469.2184
                   246.7                       480.75006
                  246.96                       492.95587
                  247.22                        505.5921
                  247.48                       518.21639
                  247.74                       530.48754
                     248                       542.41538
                  248.26                       554.36387
                  248.52                       566.78396
                  248.78                       579.86136
                  249.04                        593.3335
                   249.3                       606.61996
                  249.56                       619.19988
                  249.82                       630.97677
                  250.08                       642.34336
                  250.34                       653.87058
                   250.6                       665.84066
                  250.86                       677.96785
                  251.12                         689.524
                  251.38                       699.80906
                  251.64                       708.63822
                   251.9                       716.45941
                  252.16                       723.98446
                  252.42                       731.60854
                  252.68                       739.05537
                  252.94                       745.51791
                   253.2                       750.21603
                  253.46                       752.96842
                  253.72                       754.32416
                  253.98                       755.13735
                  254.24                       755.92074
                   254.5                        756.4683
                  254.76                       756.01817
                  255.02                       753.84056
                  255.28                       749.81496
                  255.54                       744.54519
                   255.8                       738.92793
                  256.06                       733.52639
                  256.32                       728.21717
                  256.58                        722.3453
                  256.84                       715.26295
                   257.1                       706.85253
                  257.36                       697.63912
                  257.62                       688.42304
                  257.88                       679.73585
                  258.14                       671.51868
                   258.4                       663.22826
                  258.66                       654.27801
                  258.92                        644.4917
                  259.18                       634.23735
                  259.44                       624.15846
                   259.7                        614.7261
                  259.96                       605.93806
                  260.22                       597.35744
                  260.48                       588.44804
                  260.74                       578.96432
                     261                       569.11521
                  261.26                        559.3948
                  261.52                       550.22506
                  261.78                       541.67349
                  262.04                       533.43028
                   262.3                       525.04706
                  262.56                        516.2645
                  262.82                       507.19353
                  263.08                       498.22692
                  263.34                        489.7612
                   263.6                        481.9336
                  263.86                       474.54786
                  264.12                       467.22818
                  264.38                       459.68964
                  264.64                       451.93368
                   264.9                        444.2331
                  265.16                       436.92931
                  265.42                       430.19391
                  265.68                       423.91648
                  265.94                       417.78742
                   266.2                       411.51531
                  266.46                       405.02524
                  266.72                       398.49875
                  266.98                       392.23415
                  267.24                       386.43434
                   267.5                       381.06877
                  267.76                        375.8985
                  268.02                        370.6439
                  268.28                       365.17733
                  268.54                       359.60397
                   268.8                       354.17796
                  269.06                       349.12007
                  269.32                       344.46541
                  269.58                       340.04183
                  269.84                       335.59114
                   270.1                       330.94843
                  270.36                        326.1523
                  270.62                       321.40983
                  270.88                       316.94682
                  271.14                       312.85055
                   271.4                       309.01112
                  271.66                       305.19902
                  271.92                        301.2253
                  272.18                       297.07094
                  272.44                       292.89429
                   272.7                       288.91542
                  272.96                        285.2619
                  273.22                       281.88135
                  273.48                        278.5787
                  273.74                       275.15261
                     274                       271.53515
                  274.26                       267.83534
                  274.52                       264.25843
                  274.78                       260.96125
                  275.04                       257.94373
                   275.3                       255.04943
                  275.56                       252.07498
                  275.82                       248.91214
                  276.08                       245.62123
                  276.34                       242.38518
                   276.6                       239.37992
                  276.86                       236.65204
                  277.12                       234.08652
                  277.38                       231.48702
                  277.64                       228.71357
                   277.9                       225.77956
                  278.16                       222.83953
                  278.42                        220.0791
                  278.68                       217.58537
                  278.94                       215.28617
                   279.2                       213.00013
                  279.46                       210.56401
                  279.72                       207.94708
                  279.98                       205.27078
                  280.24                       202.72175
                   280.5                       200.42111
                  280.76                        198.3397
                  281.02                       196.31786
                  281.28                       194.17735
                  281.54                       191.84706
                   281.8                       189.41196
                  282.06                       187.05187
                  282.32                       184.91511
                  282.58                        183.0146
                  282.84                       181.21785
                   283.1                       179.33965
                  283.36                       177.27299
                  283.62                       175.06429
                  283.88                       172.87957
                  284.14                       170.88746
                   284.4                       169.14093
                  284.66                       167.53901
                  284.92                       165.89694
                  285.18                       164.07701
                  285.44                        162.0862
                   285.7                       160.07065
                  285.96                       158.21247
                  286.22                        156.6018
                  286.48                       155.17232
                  286.74                       153.74663
                     287                       152.16181
                  287.26                       150.38561
