        Frequency / MHz                Port 1 [1] (12)/abs,linear
                  141.14                       243.41341
                   141.4                       249.62564
                  141.66                       256.28803
                  141.92                       263.07863
                  142.18                       269.47135
                  142.44                        275.0868
                   142.7                       279.96727
                  142.96                       284.54761
                  143.22                       289.32982
                  143.48                       294.50545
                  143.74                       299.79116
                     144                       304.59174
                  144.26                       308.39908
                  144.52                       311.15119
                  144.78                       313.26453
                  145.04                        315.3076
                   145.3                       317.57671
                  145.56                       319.88325
                  145.82                       321.69013
                  146.08                        322.5054
                  146.34                       322.25355
                   146.6                       321.33543
                  146.86                       320.33334
                  147.12                       319.60567
                  147.38                       319.06813
                  147.64                       318.29524
                   147.9                       316.86176
                  148.16                       314.68231
                  148.42                         312.097
                  148.68                       309.64762
                  148.94                       307.73173
                   149.2                       306.38645
                  149.46                       305.33092
                  149.72                       304.22396
                  149.98                       302.95999
                  150.24                       301.79659
                   150.5                       301.22953
                  150.76                       301.72108
                  151.02                       303.47787
                  151.28                       306.41453
                  151.54                       310.31513
                   151.8                       315.08993
                  152.06                       320.96464
                  152.32                       328.47931
                  152.58                       338.30629
                  152.84                        351.0169
                   153.1                       366.94483
                  153.36                       386.23005
                  153.62                        409.0408
                  153.88                       435.88687
                  154.14                       467.87911
                   154.4                       506.81411
                  154.66                       555.08054
                  154.92                       615.50438
                  155.18                       691.30729
                  155.44                       786.38532
                   155.7                       906.16452
                  155.96                       1059.1931
                  156.22                       1258.8865
                  156.48                       1521.9479
                  156.74                       1849.8793
                     157                        2164.285
                  157.26                       2261.9157
                  157.52                       2064.1568
                  157.78                       1754.5163
                  158.04                       1475.3816
                   158.3                       1255.1361
                  158.56                         1083.82
                  158.82                       948.59765
                  159.08                       840.46887
                  159.34                       753.46698
                   159.6                       683.13565
                  159.86                       625.70066
                  160.12                       577.87548
                  160.38                       536.98528
                  160.64                       501.13536
                   160.9                       469.22535
                  161.16                        440.7421
                  161.42                       415.42898
                  161.68                       393.00226
                  161.94                       373.02793
                   162.2                       354.96632
                  162.46                       338.31425
                  162.72                       322.73975
                  162.98                       308.12288
                  163.24                       294.48502
                   163.5                       281.86329
                  163.76                       270.21118
                  164.02                       259.37565
                  164.28                       249.15015
                  164.54                       239.36114
                   164.8                       229.93044
                  165.06                       220.87615
                  165.32                       212.25859
                  165.58                       204.11151
                  165.84                       196.40185
                   166.1                       189.03751
                  166.36                       181.91297
                  166.62                       174.96069
                  166.88                       168.17537
                  167.14                       161.59837
                   167.4                       155.27642
                  167.66                       149.22292
                  167.92                       143.40481
                  168.18                       137.76035
                  168.44                       132.23424
                   168.7                       126.80691
                  168.96                       121.49987
                  169.22                       116.35592
                  169.48                       111.40888
                  169.74                       106.66226
                     170                       102.08929
                  170.26                       97.653142
                  170.52                        93.33379
                  170.78                       89.144331
                  171.04                       85.126929
                   171.3                       81.332121
                  171.56                       77.795354
                  171.82                       74.525778
                  172.08                       71.514512
                  172.34                       68.757123
                   172.6                       66.275274
                  172.86                       64.122231
                  173.12                       62.367305
                  173.38                       61.068428
                  173.64                       60.250636
                   173.9                       59.905023
                  174.16                       60.008655
                  174.42                       60.550211
                  174.68                       61.541424
                  174.94                       63.005249
                   175.2                       64.949916
                  175.46                       67.349004
                  175.72                       70.143229
                  175.98                       73.263719
                  176.24                       76.661439
                   176.5                       80.323182
                  176.76                       84.263685
                  177.02                       88.499638
                  177.28                       93.023555
                  177.54                       97.795472
                   177.8                       102.75858
                  178.06                       107.86922
                  178.32                       113.12139
                  178.58                       118.54824
                  178.84                       124.19769
                   179.1                       130.09717
                  179.36                       136.23115
                  179.62                       142.54765
                  179.88                       148.99166
                  180.14                       155.54501
                   180.4                       162.24476
                  180.66                        169.1647
                  180.92                       176.36934
                  181.18                       183.87062
                  181.44                       191.61795
                   181.7                       199.53203
                  181.96                       207.56371
                  182.22                       215.73854
                  182.48                       224.15215
                  182.74                       232.91406
                     183                       242.07556
                  183.26                       251.59193
                  183.52                       261.34983
                  183.78                       271.24896
                  184.04                       281.28518
                   184.3                       291.57258
                  184.56                       302.27914
                  184.82                       313.51423
                  185.08                       325.24535
                  185.34                       337.30803
                   185.6                       349.51492
                  185.86                       361.79741
                  186.12                       374.27524
                  186.38                       387.18858
                  186.64                       400.72793
                   186.9                       414.87857
                  187.16                       429.39634
                  187.42                       443.95135
                  187.68                       458.35644
                  187.94                       472.71205
                   188.2                       487.33654
                  188.46                       502.51098
                  188.72                       518.21728
                  188.98                       534.06825
                  189.24                        549.5098
                   189.5                        564.1802
                  189.76                       578.15625
                  190.02                        591.8642
                  190.28                       605.69449
                  190.54                       619.60599
                   190.8                       633.02753
                  191.06                        645.1672
                  191.32                       655.53618
                  191.58                       664.27765
                  191.84                       672.00358
                   192.1                       679.25275
                  192.36                       686.00061
                  192.62                        691.6048
                  192.88                       695.24898
                  193.14                       696.56452
                   193.4                       695.92598
                  193.66                       694.16332
                  193.92                       691.93591
                  194.18                       689.27272
                  194.44                       685.61322
                   194.7                       680.30372
                  194.96                       673.16605
                  195.22                       664.68578
                  195.48                       655.68071
                  195.74                       646.74417
                     196                       637.89753
                  196.26                       628.67865
                  196.52                       618.57201
                  196.78                       607.45149
                  197.04                       595.70191
                   197.3                       583.94879
                  197.56                       572.63611
                  197.82                       561.77107
                  198.08                       550.99234
                  198.34                       539.88623
                   198.6                       528.31368
                  198.86                       516.51171
                  199.12                       504.91371
                  199.38                        493.8477
                  199.64                       483.33708
                   199.9                       473.12578
                  200.16                       462.88957
                  200.42                       452.47639
                  200.68                       442.00548
                  200.94                       431.76673
                   201.2                        422.0113
                  201.46                       412.78939
                  201.72                       403.93731
                  201.98                       395.20837
                  202.24                       386.44949
                   202.5                        377.6997
                  202.76                       369.14811
                  203.02                       360.99336
                  203.28                       353.31033
                  203.54                       346.01115
                   203.8                       338.91763
                  204.06                       331.88969
                  204.32                        324.9201
                  204.58                       318.13315
                  204.84                       311.69587
                   205.1                       305.70979
                  205.36                       300.15607
                  205.62                       294.92545
                  205.88                       289.90802
                  206.14                       285.08019
                   206.4                       280.52915
                  206.66                       276.39962
                  206.92                       272.80003
                  207.18                       269.72715
                  207.44                       267.05152
                   207.7                       264.56742
                  207.96                       262.07232
                  208.22                       259.42389
                  208.48                       256.54188
                  208.74                       253.36639
                     209                       249.81813
                  209.26                       245.80252
                  209.52                       241.26033
                  209.78                       236.22576
                  210.04                       230.84223
                   210.3                       225.31738
                  210.56                       219.84405
                  210.82                       214.53482
                  211.08                       209.40512
                  211.34                       204.40826
                   211.6                       199.49608
                  211.86                       194.66587
                  212.12                       189.96633
                  212.38                       185.46409
                  212.64                       181.19763
                   212.9                       177.15083
                  213.16                       173.26273
                  213.42                       169.46591
                  213.68                       165.72747
                  213.94                        162.0651
                   214.2                       158.52889
                  214.46                       155.16298
                  214.72                       151.97339
                  214.98                       148.92294
                  215.24                       145.95557
                   215.5                       143.03295
                  215.76                       140.15835
                  216.02                       137.37177
                  216.28                       134.72076
                  216.54                       132.22738
                   216.8                       129.87343
                  217.06                       127.61332
                  217.32                        125.4054
                  217.58                       123.24023
                  217.84                       121.14609
                   218.1                       119.16865
                  218.36                       117.33898
                  218.62                       115.65212
                  218.88                       114.07037
                  219.14                        112.5491
                   219.4                       111.06713
                  219.66                       109.64061
                  219.92                       108.31068
                  220.18                       107.11397
                  220.44                       106.05658
                   220.7                       105.10958
                  220.96                       104.22929
                  221.22                       103.38846
                  221.48                       102.59659
                  221.74                       101.89474
                     222                       101.32896
                  222.26                       100.92072
                  222.52                        100.6553
                  222.78                       100.49605
                  223.04                       100.41484
                   223.3                       100.41709
                  223.56                       100.54337
                  223.82                       100.84605
                  224.08                       101.35723
                  224.34                       102.07032
                   224.6                       102.94827
                  224.86                       103.95282
                  225.12                       105.07466
                  225.38                       106.34277
                  225.64                       107.80599
                   225.9                       109.49939
                  226.16                       111.41902
                  226.42                       113.52298
                  226.68                       115.75882
                  226.94                       118.09902
                   227.2                       120.55965
                  227.46                       123.18848
                  227.72                       126.02991
                  227.98                       129.09098
                  228.24                       132.33239
                   228.5                       135.69183
                  228.76                       139.12492
                  229.02                       142.63585
                  229.28                       146.27502
                  229.54                       150.10372
                   229.8                       154.14932
                  230.06                       158.38236
                  230.32                       162.73258
                  230.58                       167.13532
                  230.84                       171.57747
                   231.1                       176.10971
                  231.36                       180.81357
                  231.62                       185.74435
                  231.88                       190.88913
                  232.14                       196.17055
                   232.4                       201.49715
                  232.66                       206.82833
                  232.92                       212.20781
                  233.18                       217.73803
                  233.44                       223.50993
                   233.7                       229.53578
                  233.96                       235.73343
                  234.22                       241.97729
                  234.48                       248.18568
                  234.74                       254.38401
                     235                       260.69383
                  235.26                       267.24981
                  235.52                       274.10039
                  235.78                       281.16295
                  236.04                       288.27005
                   236.3                       295.28229
                  236.56                       302.19115
                  236.82                       309.13252
                  237.08                       316.29242
                  237.34                       323.76781
                   237.6                       331.48142
                  237.86                       339.21638
                  238.12                        346.7572
                  238.38                       354.04303
                  238.64                       361.21666
                   238.9                       368.52167
                  239.16                       376.11579
                  239.42                       383.93433
                  239.68                       391.70649
                  239.94                       399.12637
                   240.2                       406.06579
                  240.46                       412.66801
                  240.72                       419.23868
                  240.98                       426.00716
                  241.24                       432.93205
                   241.5                       439.69561
                  241.76                       445.90442
                  242.02                       451.36331
                  242.28                       456.21556
                  242.54                          460.83
                   242.8                       465.51422
                  243.06                       470.26725
                  243.32                       474.75309
                  243.58                       478.52295
                  243.84                       481.33533
                   244.1                       483.33298
                  244.36                       484.93274
                  244.62                       486.51201
                  244.88                       488.12903
                  245.14                       489.47693
                   245.4                       490.10327
                  245.66                         489.741
                  245.92                       488.50572
                  246.18                        486.8093
                  246.44                       485.06386
                   246.7                       483.40231
                  246.96                       481.60648
                  247.22                       479.27843
                  247.48                       476.13046
                  247.74                       472.19429
                     248                       467.82027
                  248.26                       463.50488
                  248.52                       459.70064
                  248.78                       456.73102
                  249.04                       454.81324
                   249.3                        454.0972
                  249.56                       454.62406
                  249.82                        456.1879
                  250.08                       458.19195
                  250.34                       459.65822
                   250.6                       459.51025
                  250.86                       457.06043
                  251.12                       452.39619
                  251.38                       446.34571
                  251.64                       440.02051
                   251.9                       434.25583
                  252.16                       429.28246
                  252.42                        424.7635
                  252.68                       420.13139
                  252.94                       415.01582
                   253.2                        409.4922
                  253.46                       403.99689
                  253.72                       399.00088
                  253.98                       394.69067
                  254.24                       390.86225
                   254.5                       387.07892
                  254.76                        382.9812
                  255.02                       378.53431
                  255.28                       374.03746
                  255.54                       369.89946
                   255.8                        366.3545
                  256.06                       363.31233
                  256.32                       360.43195
                  256.58                       357.36488
                  256.84                        354.0009
                   257.1                       350.53986
                  257.36                       347.34209
                  257.62                       344.67478
                  257.88                       342.53293
                  258.14                       340.64887
                   258.4                       338.68088
                  258.66                       336.45319
                  258.92                       334.07601
                  259.18                       331.85821
                  259.44                       330.08172
                   259.7                       328.79973
                  259.96                       327.79252
                  260.22                       326.70878
                  260.48                        325.2991
                  260.74                       323.57578
                     261                       321.77969
                  261.26                       320.18179
                  261.52                       318.86685
                  261.78                       317.65041
                  262.04                       316.18634
                   262.3                       314.19555
                  262.56                       311.65466
                  262.82                         308.805
                  263.08                       305.98143
                  263.34                       303.39509
                   263.6                       301.02288
                  263.86                       298.67176
                  264.12                       296.16784
                  264.38                        293.5339
                  264.64                       291.02475
                   264.9                       288.99668
                  265.16                       287.70714
                  265.42                       287.17819
                  265.68                       287.20772
                  265.94                       287.52179
                   266.2                        287.9708
                  266.46                       288.63273
                  266.72                       289.74524
                  266.98                       291.51219
                  267.24                       293.91618
                   267.5                       296.66374
                  267.76                       299.30982
                  268.02                       301.49095
                  268.28                       303.10336
                  268.54                       304.28679
                   268.8                       305.22505
                  269.06                       305.92016
                  269.32                       306.11453
                  269.58                       305.42871
                  269.84                       303.62154
                   270.1                       300.77236
                  270.36                       297.23774
                  270.62                       293.42253
                  270.88                       289.54471
                  271.14                       285.55521
                   271.4                       281.25133
                  271.66                       276.49207
                  271.92                       271.35518
                  272.18                       266.12317
                  272.44                       261.12117
                   272.7                       256.53267
                  272.96                       252.31635
                  273.22                       248.26978
                  273.48                       244.19332
                  273.74                       240.04227
                     274                       235.96223
                  274.26                        232.1892
                  274.52                       228.89213
                  274.78                       226.06527
                  275.04                       223.53739
                   275.3                        221.0904
                  275.56                       218.60904
                  275.82                       216.15711
                  276.08                       213.92699
                  276.34                       212.10172
                   276.6                       210.72608
                  276.86                       209.67123
                  277.12                       208.71698
                  277.38                       207.69966
                  277.64                       206.62288
                   277.9                       205.65028
                  278.16                       204.98589
                  278.42                       204.72782
                  278.68                       204.79425
                  278.94                       204.97275
                   279.2                       205.06442
                  279.46                       205.02437
                  279.72                       204.99501
                  279.98                       205.20583
                  280.24                       205.81227
                   280.5                       206.78477
                  280.76                       207.92405
                  281.02                       208.99817
                  281.28                       209.91073
                  281.54                       210.77651
                   281.8                       211.84491
                  282.06                       213.32581
                  282.32                       215.23958
                  282.58                       217.39429
                  282.84                       219.51266
                   283.1                       221.42906
