        Frequency / MHz                Port 1 [1] (12)/arg,degrees
                  136.98                       8.5296094
                  137.24                       10.131652
                   137.5                       11.704716
                  137.76                       13.155337
                  138.02                       14.380959
                  138.28                       15.342248
                  138.54                       16.091182
                   138.8                       16.736561
                  139.06                       17.370627
                  139.32                       18.008279
                  139.58                        18.58149
                  139.84                       18.991189
                   140.1                       19.179448
                  140.36                       19.172921
                  140.62                       19.067442
                  140.88                       18.962915
                  141.14                       18.894371
                   141.4                        18.80955
                  141.66                       18.608774
                  141.92                       18.218529
                  142.18                        17.64827
                  142.44                       16.990224
                   142.7                       16.359297
                  142.96                        15.81484
                  143.22                       15.322051
                  143.48                       14.780466
                  143.74                       14.097921
                     144                       13.258812
                  144.26                       12.339457
                  144.52                       11.457906
                  144.78                       10.693623
                  145.04                       10.037071
                   145.3                       9.4050701
                  145.56                       8.7077732
                  145.82                        7.918705
                  146.08                       7.0988976
                  146.34                       6.3574595
                   146.6                       5.7774901
                  146.86                        5.363219
                  147.12                       5.0459985
                  147.38                       4.7412644
                  147.64                       4.4143564
                   147.9                        4.109461
                  148.16                       3.9216827
                  148.42                       3.9330924
                  148.68                       4.1603453
                  148.94                       4.5506967
                   149.2                       5.0258608
                  149.46                       5.5409187
                  149.72                       6.1178304
                  149.98                       6.8311341
                  150.24                       7.7565797
                   150.5                       8.9198248
                  150.76                       10.280792
                  151.02                       11.761898
                  151.28                       13.298421
                  151.54                       14.876652
                   151.8                       16.534879
                  152.06                       18.327059
                  152.32                       20.274456
                  152.58                       22.338309
                  152.84                       24.430597
                   153.1                       26.453764
                  153.36                       28.343228
                  153.62                       30.086658
                  153.88                       31.708135
                  154.14                       33.225941
                   154.4                       34.608902
                  154.66                       35.756337
                  154.92                       36.510249
                  155.18                       36.688492
                  155.44                       36.115325
                   155.7                       34.619943
                  155.96                       31.971606
                  156.22                         27.7284
                  156.48                       21.009374
                  156.74                       10.336895
                     157                      -5.7042171
                  157.26                      -25.669511
                  157.52                      -44.103828
                  157.78                      -57.491322
                  158.04                      -66.416473
                   158.3                      -72.449074
                  158.56                      -76.668461
                  158.82                      -79.649725
                  159.08                      -81.706647
                  159.34                      -83.064469
                   159.6                      -83.929989
                  159.86                      -84.491919
                  160.12                      -84.893477
                  160.38                      -85.210159
                  160.64                       -85.45218
                   160.9                      -85.593494
                  161.16                       -85.61121
                  161.42                      -85.512546
                  161.68                      -85.336453
                  161.94                      -85.133603
                   162.2                      -84.939669
                  162.46                       -84.75869
                  162.72                       -84.56636
                  162.98                      -84.330147
                  163.24                      -84.032294
                   163.5                       -83.68098
                  163.76                      -83.303966
                  164.02                      -82.930218
                  164.28                      -82.571629
                  164.54                      -82.216307
                   164.8                      -81.837267
                  165.06                      -81.410119
                  165.32                      -80.927811
                  165.58                      -80.403301
                  165.84                       -79.85929
                   166.1                      -79.312074
                  166.36                      -78.759869
                  166.62                      -78.182961
                  166.88                      -77.555192
                  167.14                      -76.858877
                   167.4                      -76.093469
                  167.66                      -75.272759
                  167.92                      -74.412734
                  168.18                      -73.517827
                  168.44                      -72.574328
                   168.7                      -71.555111
                  168.96                       -70.43244
                  169.22                      -69.190448
                  169.48                      -67.829354
                  169.74                      -66.358687
                     170                      -64.783544
                  170.26                       -63.09248
                  170.52                      -61.254992
                  170.78                      -59.230656
                  171.04                      -56.984453
                   171.3                      -54.498719
