        Frequency / MHz                S1,1 (Mesh Pass=9)/abs,dB
               67.040001                      -6.9899233
               67.300003                      -7.0055991
               67.559998                      -7.0217815
                   67.82                      -7.0385175
               68.080002                      -7.0558526
               68.339996                      -7.0738375
               68.599998                      -7.0925247
               68.860001                      -7.1119672
               69.120003                      -7.1322215
               69.379997                      -7.1533479
               69.639999                       -7.175407
               69.900002                      -7.1984627
               70.159996                      -7.2225828
               70.419998                       -7.247835
                   70.68                      -7.2742916
               70.940002                      -7.3020272
               71.199997                      -7.3311191
               71.459999                      -7.3616465
               71.720001                      -7.3936909
               71.980003                      -7.4273378
               72.239998                      -7.4626739
                    72.5                       -7.499788
               72.760002                       -7.538771
               73.019997                      -7.5797166
               73.279999                      -7.6227196
               73.540001                      -7.6678763
               73.800003                      -7.7152835
               74.059998                      -7.7650393
                   74.32                      -7.8172439
               74.580002                      -7.8719955
               74.839996                      -7.9293928
               75.099998                       -7.989533
               75.360001                      -8.0525125
               75.620003                      -8.1184259
               75.879997                      -8.1873651
               76.139999                      -8.2594171
               76.400002                      -8.3346649
               76.659996                        -8.41319
               76.919998                       -8.495064
                   77.18                      -8.5803556
               77.440002                      -8.6691233
               77.699997                      -8.7614192
               77.959999                      -8.8572869
               78.220001                      -8.9567604
               78.480003                       -9.059863
               78.739998                      -9.1666081
                      79                       -9.276997
               79.260002                      -9.3910191
               79.519997                      -9.5086531
               79.779999                      -9.6298619
               80.040001                      -9.7545988
               80.300003                      -9.8828015
               80.559998                      -10.014396
                   80.82                      -10.149293
               81.080002                      -10.287393
               81.339996                      -10.428581
               81.599998                       -10.57273
               81.860001                      -10.719702
               82.120003                      -10.869344
               82.379997                      -11.021497
               82.639999                      -11.175987
               82.900002                      -11.332632
               83.159996                      -11.491243
               83.419998                       -11.65162
                   83.68                      -11.813559
               83.940002                      -11.976848
               84.199997                      -12.141272
               84.459999                      -12.306614
               84.720001                      -12.472652
               84.980003                      -12.639166
               85.239998                      -12.805934
                    85.5                      -12.972736
               85.760002                      -13.139355
               86.019997                       -13.30558
               86.279999                      -13.471203
               86.540001                      -13.636024
               86.800003                      -13.799846
               87.059998                      -13.962486
                   87.32                      -14.123767
               87.580002                      -14.283523
               87.839996                      -14.441599
               88.099998                       -14.59785
               88.360001                      -14.752145
               88.620003                      -14.904365
               88.879997                      -15.054405
               89.139999                       -15.20217
               89.400002                      -15.347581
               89.659996                      -15.490572
               89.919998                       -15.63109
                   90.18                      -15.769096
               90.440002                      -15.904564
               90.699997                      -16.037478
               90.959999                      -16.167839
               91.220001                      -16.295657
               91.480003                      -16.420952
               91.739998                      -16.543758
                      92                      -16.664115
               92.260002                      -16.782077
               92.519997                      -16.897702
               92.779999                      -17.011056
               93.040001                      -17.122216
               93.300003                      -17.231261
               93.559998                      -17.338277
                   93.82                      -17.443351
               94.080002                      -17.546581
               94.339996                       -17.64806
               94.599998                      -17.747889
               94.860001                      -17.846168
               95.120003                      -17.942999
               95.379997                      -18.038484
               95.639999                      -18.132726
               95.900002                      -18.225829
               96.159996                      -18.317893
               96.419998                      -18.409019
                   96.68                      -18.499308
               96.940002                      -18.588858
               97.199997                      -18.677765
               97.459999                      -18.766124
               97.720001                      -18.854029
               97.980003                      -18.941571
               98.239998                      -19.028837
                    98.5                      -19.115916
               98.760002                      -19.202891
               99.019997                      -19.289844
               99.279999                      -19.376854
               99.540001                         -19.464
               99.800003                      -19.551354
                  100.06                       -19.63899
                  100.32                      -19.726979
                  100.58                      -19.815387
                  100.84                       -19.90428
                   101.1                      -19.993723
                  101.36                      -20.083776
                  101.62                      -20.174501
                  101.88                      -20.265953
                  102.14                      -20.358191
                   102.4                      -20.451271
                  102.66                      -20.545245
                  102.92                      -20.640167
                  103.18                       -20.73609
                  103.44                      -20.833062
                   103.7                      -20.931137
                  103.96                      -21.030361
                  104.22                      -21.130786
                  104.48                      -21.232459
                  104.74                      -21.335428
                     105                      -21.439742
                  105.26                      -21.545447
                  105.52                       -21.65259
                  105.78                      -21.761218
                  106.04                      -21.871379
                   106.3                      -21.983117
                  106.56                      -22.096482
                  106.82                      -22.211519
                  107.08                      -22.328277
                  107.34                      -22.446804
                   107.6                      -22.567148
                  107.86                      -22.689362
                  108.12                      -22.813492
                  108.38                      -22.939594
                  108.64                       -23.06772
                   108.9                      -23.197926
                  109.16                      -23.330269
                  109.42                      -23.464807
                  109.68                        -23.6016
                  109.94                      -23.740713
                   110.2                      -23.882208
                  110.46                      -24.026153
                  110.72                      -24.172618
                  110.98                      -24.321674
                  111.24                      -24.473394
                   111.5                      -24.627855
                  111.76                      -24.785136
                  112.02                       -24.94532
                  112.28                      -25.108494
                  112.54                      -25.274745
                   112.8                      -25.444168
                  113.06                       -25.61686
                  113.32                      -25.792923
                  113.58                      -25.972464
                  113.84                      -26.155596
                   114.1                      -26.342438
                  114.36                      -26.533116
                  114.62                       -26.72776
                  114.88                      -26.926511
                  115.14                      -27.129515
                   115.4                      -27.336926
                  115.66                      -27.548904
                  115.92                      -27.765623
                  116.18                      -27.987261
                  116.44                      -28.214007
                   116.7                      -28.446056
                  116.96                      -28.683613
                  117.22                      -28.926898
                  117.48                      -29.176133
                  117.74                      -29.431555
                     118                      -29.693406
                  118.26                      -29.961944
                  118.52                      -30.237433
                  118.78                      -30.520148
                  119.04                      -30.810371
                   119.3                      -31.108393
                  119.56                      -31.414509
                  119.82                      -31.729016
                  120.08                      -32.052209
                  120.34                      -32.384373
                   120.6                      -32.725772
                  120.86                       -33.07664
                  121.12                      -33.437161
                  121.38                      -33.807443
                  121.64                      -34.187494
                   121.9                      -34.577169
                  122.16                       -34.97613
                  122.42                      -35.383765
                  122.68                      -35.799104
                  122.94                      -36.220709
                   123.2                      -36.646534
                  123.46                       -37.07377
                  123.72                      -37.498663
                  123.98                      -37.916333
                  124.24                      -38.320621
                   124.5                      -38.703999
                  124.76                      -39.057638
                  125.02                      -39.371695
                  125.28                      -39.635885
                  125.54                      -39.840385
                   125.8                      -39.976941
                  126.06                      -40.040006
                  126.32                      -40.027602
                  126.58                      -39.941644
                  126.84                      -39.787613
                   127.1                      -39.573714
                  127.36                      -39.309735
                  127.62                      -39.005932
                  127.88                      -38.672136
                  128.14                       -38.31717
               128.39999                       -37.94856
                  128.66                      -37.572478
                  128.92                      -37.193814
               129.17999                      -36.816341
                  129.44                      -36.442889
                   129.7                      -36.075523
               129.96001                      -35.715706
                  130.22                      -35.364433
                  130.48                      -35.022335
               130.74001                      -34.689777
                     131                      -34.366916
               131.25999                      -34.053764
                  131.52                      -33.750223
                  131.78                      -33.456116
               132.03999                      -33.171217
                   132.3                       -32.89526
                  132.56                      -32.627954
               132.81999                      -32.369003
                  133.08                      -32.118097
                  133.34                      -31.874931
               133.60001                      -31.639204
                  133.86                      -31.410622
                  134.12                      -31.188897
                  134.38                      -30.973753
                  134.64                      -30.764926
               134.89999                      -30.562162
                  135.16                       -30.36522
                  135.42                       -30.17387
               135.67999                      -29.987892
                  135.94                       -29.80708
                   136.2                      -29.631235
               136.46001                      -29.460172
                  136.72                      -29.293711
                  136.98                      -29.131685
               137.24001                      -28.973932
                   137.5                      -28.820301
               137.75999                      -28.670645
                  138.02                      -28.524829
                  138.28                      -28.382717
               138.53999                      -28.244188
                   138.8                      -28.109122
                  139.06                      -27.977403
               139.31999                      -27.848925
                  139.58                      -27.723584
                  139.84                      -27.601283
               140.10001                      -27.481929
                  140.36                      -27.365431
                  140.62                      -27.251707
                  140.88                      -27.140675
                  141.14                      -27.032261
               141.39999                      -26.926389
                  141.66                       -26.82299
                  141.92                         -26.722
               142.17999                      -26.623353
                  142.44                      -26.526991
                   142.7                      -26.432852
               142.96001                      -26.340885
                  143.22                      -26.251034
                  143.48                      -26.163247
               143.74001                      -26.077477
                     144                      -25.993676
               144.25999                      -25.911798
                  144.52                      -25.831801
                  144.78                      -25.753642
               145.03999                      -25.677281
                   145.3                       -25.60268
                  145.56                      -25.529804
               145.81999                      -25.458617
                  146.08                      -25.389085
                  146.34                      -25.321177
               146.60001                      -25.254862
                  146.86                      -25.190109
                  147.12                      -25.126894
                  147.38                      -25.065187
                  147.64                      -25.004963
               147.89999                      -24.946198
                  148.16                      -24.888868
                  148.42                       -24.83295
               148.67999                      -24.778421
                  148.94                      -24.725261
                   149.2                       -24.67345
               149.46001                      -24.622968
                  149.72                      -24.573796
                  149.98                      -24.525917
               150.24001                      -24.479312
                   150.5                      -24.433968
               150.75999                      -24.389867
                  151.02                      -24.346995
                  151.28                      -24.305338
               151.53999                      -24.264885
                   151.8                       -24.22562
                  152.06                      -24.187535
               152.31999                      -24.150617
                  152.58                      -24.114857
                  152.84                      -24.080245
               153.10001                      -24.046773
                  153.36                      -24.014431
                  153.62                      -23.983211
                  153.88                      -23.953108
                  154.14                      -23.924113
               154.39999                      -23.896223
                  154.66                       -23.86943
                  154.92                       -23.84373
               155.17999                      -23.819117
                  155.44                      -23.795592
                   155.7                      -23.773148
               155.96001                      -23.751784
                  156.22                      -23.731498
                  156.48                       -23.71229
               156.74001                      -23.694161
                     157                       -23.67711
               157.25999                       -23.66114
                  157.52                      -23.646253
                  157.78                       -23.63245
               158.03999                      -23.619736
                   158.3                      -23.608117
                  158.56                      -23.597594
               158.81999                      -23.588177
                  159.08                       -23.57987
                  159.34                      -23.572682
               159.60001                      -23.566619
                  159.86                      -23.561691
                  160.12                      -23.557907
                  160.38                      -23.555277
                  160.64                      -23.553813
               160.89999                      -23.553529
                  161.16                      -23.554435
                  161.42                      -23.556545
               161.67999                      -23.559875
                  161.94                       -23.56444
                   162.2                      -23.570257
               162.46001                      -23.577342
                  162.72                      -23.585716
                  162.98                      -23.595395
               163.24001                      -23.606399
                   163.5                      -23.618748
               163.75999                      -23.632464
                  164.02                      -23.647566
                  164.28                      -23.664078
               164.53999                      -23.682019
                   164.8                      -23.701413
                  165.06                      -23.722281
               165.31999                      -23.744646
                  165.58                      -23.768528
                  165.84                      -23.793948
               166.10001                      -23.820928
                  166.36                      -23.849489
                  166.62                      -23.879647
                  166.88                      -23.911419
                  167.14                      -23.944823
               167.39999                      -23.979869
                  167.66                       -24.01657
                  167.92                      -24.054933
               168.17999                       -24.09496
                  168.44                      -24.136654
                   168.7                      -24.180007
               168.96001                      -24.225012
                  169.22                      -24.271652
                  169.48                      -24.319903
               169.74001                      -24.369737
                     170                      -24.421115
               170.25999                       -24.47399
                  170.52                      -24.528306
                  170.78                      -24.583995
               171.03999                      -24.640981
                   171.3                      -24.699172
                  171.56                      -24.758467
               171.81999                       -24.81875
                  172.08                      -24.879891
                  172.34                      -24.941746
               172.60001                      -25.004158
                  172.86                      -25.066954
                  173.12                      -25.129945
                  173.38                      -25.192929
                  173.64                      -25.255691
               173.89999                         -25.318
                  174.16                      -25.379614
                  174.42                      -25.440283
               174.67999                      -25.499744
                  174.94                       -25.55773
                   175.2                      -25.613967
               175.46001                      -25.668181
                  175.72                      -25.720101
                  175.98                      -25.769458
               176.24001                      -25.815993
                   176.5                      -25.859457
               176.75999                       -25.89962
                  177.02                      -25.936266
                  177.28                      -25.969206
               177.53999                      -25.998273
                   177.8                      -26.023329
                  178.06                      -26.044267
               178.31999                      -26.061012
                  178.58                      -26.073518
                  178.84                      -26.081778
               179.10001                      -26.085816
                  179.36                      -26.085686
                  179.62                      -26.081476
                  179.88                        -26.0733
                  180.14                      -26.061303
               180.39999                      -26.045649
                  180.66                      -26.026528
                  180.92                       -26.00414
               181.17999                      -25.978709
                  181.44                      -25.950461
                   181.7                      -25.919636
               181.96001                      -25.886476
                  182.22                      -25.851226
                  182.48                      -25.814127
               182.74001                      -25.775422
                     183                      -25.735344
               183.25999                      -25.694122
                  183.52                      -25.651974
                  183.78                      -25.609109
               184.03999                      -25.565729
                   184.3                      -25.522018
                  184.56                      -25.478155
               184.81999                      -25.434304
                  185.08                      -25.390616
                  185.34                      -25.347232
               185.60001                      -25.304282
                  185.86                      -25.261883
                  186.12                      -25.220142
                  186.38                      -25.179157
                  186.64                      -25.139014
               186.89999                      -25.099793
                  187.16                       -25.06156
                  187.42                      -25.024379
               187.67999                      -24.988302
                  187.94                      -24.953377
                   188.2                      -24.919644
               188.46001                      -24.887136
                  188.72                      -24.855882
                  188.98                      -24.825907
               189.24001                      -24.797228
                   189.5                      -24.769861
               189.75999                      -24.743817
                  190.02                      -24.719103
                  190.28                      -24.695725
               190.53999                      -24.673682
                   190.8                      -24.652975
                  191.06                        -24.6336
               191.31999                      -24.615552
                  191.58                      -24.598825
                  191.84                       -24.58341
               192.10001                      -24.569297
                  192.36                      -24.556476
                  192.62                      -24.544932
                  192.88                      -24.534657
                  193.14                      -24.525633
               193.39999                      -24.517847
                  193.66                      -24.511284
                  193.92                      -24.505929
               194.17999                      -24.501764
                  194.44                      -24.498773
                   194.7                       -24.49694
               194.96001                      -24.496245
                  195.22                      -24.496673
                  195.48                      -24.498204
               195.74001                      -24.500822
                     196                      -24.504506
               196.25999                       -24.50924
                  196.52                      -24.515003
                  196.78                      -24.521779
               197.03999                      -24.529547
                   197.3                       -24.53829
                  197.56                      -24.547988
               197.81999                      -24.558623
                  198.08                      -24.570176
                  198.34                      -24.582626
               198.60001                      -24.595957
                  198.86                      -24.610148
                  199.12                      -24.625182
                  199.38                      -24.641037
                  199.64                      -24.657694
               199.89999                      -24.675135
                  200.16                      -24.693339
                  200.42                      -24.712287
               200.67999                      -24.731958
                  200.94                      -24.752332
                   201.2                       -24.77339
               201.46001                      -24.795109
                  201.72                      -24.817471
                  201.98                      -24.840454
               202.24001                      -24.864037
                   202.5                      -24.888199
               202.75999                      -24.912918
                  203.02                      -24.938175
                  203.28                      -24.963947
               203.53999                       -24.99021
                   203.8                      -25.016944
                  204.06                      -25.044126
               204.31999                      -25.071733
                  204.58                      -25.099742
                  204.84                       -25.12813
               205.10001                      -25.156872
                  205.36                      -25.185944
                  205.62                      -25.215323
                  205.88                      -25.244982
                  206.14                      -25.274896
               206.39999                      -25.305041
                  206.66                      -25.335389
                  206.92                      -25.365915
               207.17999                      -25.396593
                  207.44                      -25.427394
                   207.7                      -25.458292
               207.96001                       -25.48926
                  208.22                      -25.520271
                  208.48                      -25.551293
               208.74001                      -25.582302
                     209                      -25.613268
               209.25999                       -25.64416
                  209.52                      -25.674951
                  209.78                       -25.70561
               210.03999                      -25.736106
                   210.3                      -25.766411
                  210.56                      -25.796494
               210.81999                      -25.826323
                  211.08                      -25.855867
                  211.34                      -25.885098
               211.60001                      -25.913981
                  211.86                      -25.942487
                  212.12                      -25.970585
                  212.38                      -25.998243
                  212.64                      -26.025432
               212.89999                       -26.05212
                  213.16                      -26.078275
                  213.42                      -26.103869
               213.67999                      -26.128871
                  213.94                      -26.153251
                   214.2                       -26.17698
               214.46001                      -26.200029
                  214.72                      -26.222369
                  214.98                      -26.243971
               215.24001                      -26.264809
                   215.5                      -26.284853
               215.75999                       -26.30408
                  216.02                      -26.322462
                  216.28                      -26.339973
               216.53999                      -26.356591
                   216.8                      -26.372292
                  217.06                      -26.387053
               217.31999                      -26.400854
                  217.58                      -26.413673
                  217.84                      -26.425495
               218.10001                      -26.436297
                  218.36                      -26.446066
                  218.62                      -26.454785
                  218.88                      -26.462441
                  219.14                       -26.46902
               219.39999                      -26.474511
                  219.66                      -26.478904
                  219.92                      -26.482189
               220.17999                      -26.484359
                  220.44                      -26.485407
                   220.7                      -26.485329
               220.96001                      -26.484121
                  221.22                      -26.481779
                  221.48                      -26.478306
               221.74001                      -26.473699
                     222                      -26.467962
               222.25999                      -26.461097
                  222.52                      -26.453111
                  222.78                      -26.444008
               223.03999                      -26.433798
                   223.3                      -26.422487
                  223.56                      -26.410087
               223.81999                      -26.396608
                  224.08                      -26.382062
                  224.34                      -26.366464
               224.60001                      -26.349826
                  224.86                      -26.332165
                  225.12                      -26.313496
                  225.38                      -26.293837
                  225.64                      -26.273203
               225.89999                      -26.251615
                  226.16                      -26.229091
                  226.42                      -26.205651
               226.67999                      -26.181316
                  226.94                      -26.156106
                   227.2                      -26.130043
               227.46001                      -26.103148
                  227.72                      -26.075446
                  227.98                      -26.046957
               228.24001                      -26.017707
                   228.5                      -25.987717
               228.75999                      -25.957011
                  229.02                      -25.925612
                  229.28                      -25.893545
               229.53999                      -25.860833
                   229.8                        -25.8275
                  230.06                      -25.793569
               230.31999                      -25.759063
                  230.58                      -25.724006
                  230.84                       -25.68842
               231.10001                      -25.652329
                  231.36                      -25.615754
                  231.62                      -25.578719
                  231.88                      -25.541246
                  232.14                      -25.503356
               232.39999                      -25.465072
                  232.66                      -25.426415
                  232.92                      -25.387405
               233.17999                      -25.348065
                  233.44                      -25.308414
                   233.7                      -25.268471
               233.96001                       -25.22826
                  234.22                      -25.187796
                  234.48                      -25.147099
               234.74001                      -25.106187
                     235                      -25.065079
               235.25999                      -25.023791
                  235.52                      -24.982341
                  235.78                      -24.940746
               236.03999                      -24.899019
                   236.3                      -24.857179
                  236.56                       -24.81524
               236.81999                      -24.773216
                  237.08                      -24.731123
                  237.34                      -24.688974
               237.60001                      -24.646782
                  237.86                      -24.604564
                  238.12                      -24.562329
                  238.38                       -24.52009
                  238.64                      -24.477863
               238.89999                      -24.435656
                  239.16                      -24.393481
                  239.42                       -24.35135
               239.67999                      -24.309272
                  239.94                      -24.267258
                   240.2                      -24.225317
               240.46001                      -24.183459
                  240.72                      -24.141691
                  240.98                      -24.100023
               241.24001                      -24.058461
                   241.5                      -24.017016
               241.75999                      -23.975694
                  242.02                      -23.934499
                  242.28                      -23.893445
               242.53999                      -23.852534
                   242.8                      -23.811774
                  243.06                      -23.771174
               243.31999                      -23.730737
                  243.58                      -23.690473
                  243.84                      -23.650388
               244.10001                      -23.610486
                  244.36                      -23.570776
                  244.62                      -23.531264
                  244.88                      -23.491954
                  245.14                      -23.452854
               245.39999                      -23.413967
                  245.66                      -23.375299
                  245.92                      -23.336857
               246.17999                      -23.298644
                  246.44                      -23.260664
                   246.7                      -23.222923
               246.96001                      -23.185425
                  247.22                      -23.148172
                  247.48                       -23.11117
               247.74001                      -23.074422
                     248                      -23.037929
               248.25999                      -23.001698
                  248.52                       -22.96573
                  248.78                      -22.930027
               249.03999                      -22.894594
                   249.3                      -22.859431
                  249.56                      -22.824542
               249.81999                      -22.789927
                  250.08                      -22.755592
                  250.34                      -22.721535
               250.60001                      -22.687759
                  250.86                      -22.654268
                  251.12                      -22.621061
                  251.38                      -22.588141
                  251.64                      -22.555507
               251.89999                      -22.523164
                  252.16                      -22.491111
                  252.42                      -22.459351
               252.67999                      -22.427885
                  252.94                      -22.396714
                   253.2                      -22.365837
               253.46001                       -22.33526
                  253.72                       -22.30498
                  253.98                         -22.275
               254.24001                      -22.245321
                   254.5                      -22.215943
               254.75999                      -22.186868
                  255.02                      -22.158096
                  255.28                      -22.129626
               255.53999                      -22.101462
                   255.8                      -22.073601
                  256.06                      -22.046046
               256.32001                      -22.018796
               256.57999                      -21.991852
                  256.84                      -21.965215
               257.10001                      -21.938883
               257.35999                       -21.91286
                  257.62                      -21.887142
                  257.88                      -21.861732
               258.13998                       -21.83663
               258.39999                      -21.811837
                  258.66                      -21.787351
               258.92001                      -21.763173
               259.17999                      -21.739304
                  259.44                      -21.715744
               259.70001                      -21.692493
               259.95999                      -21.669551
                  260.22                      -21.646917
               260.48001                      -21.624591
               260.73999                      -21.602573
                     261                      -21.580863
               261.26001                      -21.559462
               261.51999                      -21.538366
                  261.78                      -21.517578
               262.04001                      -21.497096
               262.29999                      -21.476921
                  262.56                      -21.457053
               262.82001                      -21.437489
               263.07999                      -21.418231
                  263.34                      -21.399278
               263.60001                       -21.38063
               263.85999                      -21.362286
                  264.12                      -21.344247
                  264.38                      -21.326512
               264.63998                       -21.30908
               264.89999                      -21.291951
                  265.16                      -21.275125
               265.42001                        -21.2586
               265.67999                      -21.242377
                  265.94                      -21.226454
               266.20001                      -21.210831
               266.45999                      -21.195506
                  266.72                      -21.180481
               266.98001                      -21.165751
               267.23999                       -21.15132
                   267.5                      -21.137185
               267.76001                      -21.123346
               268.01999                        -21.1098
                  268.28                       -21.09655
               268.54001                      -21.083593
               268.79999                      -21.070928
                  269.06                      -21.058557
               269.32001                      -21.046477
               269.57999                      -21.034688
                  269.84                      -21.023189
               270.10001                       -21.01198
               270.35999                      -21.001059
                  270.62                      -20.990426
                  270.88                      -20.980078
               271.13998                      -20.970016
               271.39999                      -20.960237
                  271.66                      -20.950743
               271.92001                       -20.94153
               272.17999                      -20.932598
                  272.44                      -20.923946
               272.70001                      -20.915572
               272.95999                      -20.907476
                  273.22                      -20.899658
               273.48001                      -20.892114
               273.73999                      -20.884846
                     274                      -20.877851
               274.26001                      -20.871129
               274.51999                      -20.864677
                  274.78                      -20.858497
               275.04001                      -20.852586
               275.29999                      -20.846941
                  275.56                      -20.841563
               275.82001                      -20.836449
               276.07999                      -20.831598
                  276.34                      -20.827009
               276.60001                      -20.822678
               276.85999                      -20.818606
                  277.12                       -20.81479
                  277.38                      -20.811229
               277.63998                       -20.80792
               277.89999                      -20.804862
                  278.16                      -20.802053
               278.42001                      -20.799493
               278.67999                      -20.797178
                  278.94                      -20.795108
               279.20001                       -20.79328
               279.45999                      -20.791693
                  279.72                      -20.790344
               279.98001                      -20.789233
               280.23999                      -20.788355
                   280.5                      -20.787709
               280.76001                      -20.787293
               281.01999                      -20.787106
                  281.28                      -20.787143
               281.54001                      -20.787402
               281.79999                       -20.78788
                  282.06                      -20.788576
               282.32001                      -20.789487
               282.57999                      -20.790609
                  282.84                      -20.791941
               283.10001                      -20.793478
               283.35999                      -20.795221
                  283.62                      -20.797163
                  283.88                      -20.799305
               284.13998                      -20.801644
               284.39999                      -20.804176
                  284.66                      -20.806897
               284.92001                      -20.809807
               285.17999                      -20.812902
                  285.44                      -20.816179
               285.70001                      -20.819632
               285.95999                      -20.823262
                  286.22                      -20.827064
               286.48001                      -20.831033
               286.73999                      -20.835168
                     287                      -20.839464
               287.26001                      -20.843919
               287.51999                      -20.848527
                  287.78                      -20.853288
               288.04001                      -20.858197
               288.29999                       -20.86325
                  288.56                      -20.868446
               288.82001                      -20.873781
               289.07999                      -20.879251
                  289.34                      -20.884854
               289.60001                      -20.890587
               289.85999                      -20.896445
                  290.12                      -20.902428
                  290.38                       -20.90853
               290.63998                      -20.914747
               290.89999                      -20.921079
                  291.16                       -20.92752
               291.42001                      -20.934068
               291.67999                      -20.940718
                  291.94                      -20.947468
               292.20001                      -20.954314
               292.45999                      -20.961253
                  292.72                      -20.968282
               292.98001                      -20.975399
               293.23999                      -20.982599
                   293.5                      -20.989882
               293.76001                      -20.997244
               294.01999                      -21.004683
                  294.28                      -21.012195
               294.54001                      -21.019779
               294.79999                      -21.027433
                  295.06                      -21.035155
               295.32001                      -21.042941
               295.57999                       -21.05079
                  295.84                      -21.058698
               296.10001                      -21.066665
               296.35999                      -21.074686
                  296.62                       -21.08276
                  296.88                      -21.090885
               297.13998                      -21.099058
               297.39999                      -21.107277
                  297.66                       -21.11554
               297.92001                      -21.123846
               298.17999                      -21.132193
                  298.44                       -21.14058
               298.70001                      -21.149006
               298.95999                      -21.157469
                  299.22                      -21.165969
               299.48001                      -21.174504
               299.73999                      -21.183073
                     300                      -21.191676

