        Frequency / MHz                S1,1/abs,dB
                  141.14                        -16.2145
               141.39999                      -16.419524
                  141.66                      -16.626979
                  141.92                      -16.836692
               142.17999                      -17.048437
                  142.44                      -17.261935
                   142.7                      -17.476853
               142.96001                      -17.692793
                  143.22                      -17.909282
                  143.48                      -18.125767
               143.74001                      -18.341584
                     144                      -18.555944
               144.25999                      -18.767908
                  144.52                      -18.976355
                  144.78                       -19.17997
               145.03999                      -19.377219
                   145.3                      -19.566349
                  145.56                       -19.74539
               145.81999                      -19.912178
                  146.08                      -20.064391
                  146.34                      -20.199597
               146.60001                      -20.315331
                  146.86                      -20.409175
                  147.12                      -20.478855
                  147.38                      -20.522342
                  147.64                      -20.537949
               147.89999                      -20.524423
                  148.16                       -20.48101
                  148.42                      -20.407502
               148.67999                      -20.304242
                  148.94                      -20.172107
                   149.2                      -20.012447
               149.46001                      -19.827023
                  149.72                      -19.617903
                  149.98                      -19.387381
               150.24001                      -19.137873
                   150.5                      -18.871834
               150.75999                      -18.591688
                  151.02                      -18.299761
                  151.28                       -17.99824
               151.53999                      -17.689127
                   151.8                      -17.374233
                  152.06                       -17.05516
               152.31999                      -16.733308
                  152.58                      -16.409883
                  152.84                      -16.085927
               153.10001                      -15.762335
                  153.36                      -15.439891
                  153.62                      -15.119295
                  153.88                      -14.801189
                  154.14                      -14.486177
               154.39999                      -14.174845
                  154.66                      -13.867768
                  154.92                      -13.565515
               155.17999                      -13.268657
                  155.44                      -12.977762
                   155.7                      -12.693403
               155.96001                      -12.416161
                  156.22                      -12.146635
                  156.48                      -11.885456
               156.74001                      -11.633299
                     157                      -11.390901
               157.25999                      -11.159072
                  157.52                      -10.938708
                  157.78                      -10.730787
               158.03999                      -10.536376
                   158.3                      -10.356608
                  158.56                      -10.192672
               158.81999                      -10.045786
                  159.08                      -9.9171623
                  159.34                      -9.8079833
               159.60001                      -9.7193645
                  159.86                       -9.652325
                  160.12                       -9.607759
                  160.38                      -9.5864123
                  160.64                      -9.5888643
               160.89999                      -9.6155108
                  161.16                      -9.6665588
                  161.42                      -9.7420177
               161.67999                      -9.8417075
                  161.94                      -9.9652594
                   162.2                       -10.11213
               162.46001                      -10.281612
                  162.72                      -10.472863
                  162.98                      -10.684918
               163.24001                      -10.916723
                   163.5                      -11.167159
               163.75999                      -11.435068
                  164.02                      -11.719287
                  164.28                      -12.018662
               164.53999                      -12.332075
                   164.8                      -12.658454
                  165.06                      -12.996776
               165.31999                      -13.346065
                  165.58                      -13.705381
                  165.84                      -14.073793
               166.10001                       -14.45036
                  166.36                      -14.834086
                  166.62                      -15.223885
                  166.88                      -15.618544
                  167.14                      -16.016671
               167.39999                       -16.41666
                  167.66                      -16.816654
                  167.92                      -17.214506
               168.17999                      -17.607759
                  168.44                      -17.993631
                   168.7                      -18.369017
               168.96001                      -18.730518
                  169.22                      -19.074496
                  169.48                      -19.397172
               169.74001                      -19.694759
                     170                      -19.963639
               170.25999                      -20.200567
                  170.52                       -20.40289
                  170.78                      -20.568741
               171.03999                      -20.697192
                   171.3                      -20.788337
                  171.56                      -20.843272
               171.81999                       -20.86401
                  172.08                      -20.853308
                  172.34                      -20.814459
               172.60001                      -20.751067
                  172.86                      -20.666841
                  173.12                      -20.565411
                  173.38                      -20.450194
                  173.64                       -20.32429
               173.89999                      -20.190421
                  174.16                        -20.0509
                  174.42                      -19.907622
               174.67999                      -19.762075
                  174.94                      -19.615367
                   175.2                      -19.468269
               175.46001                      -19.321264
                  175.72                       -19.17461
                  175.98                      -19.028396
               176.24001                      -18.882616
                   176.5                      -18.737211
               176.75999                       -18.59213
                  177.02                      -18.447345
                  177.28                      -18.302876
               177.53999                      -18.158781
                   177.8                      -18.015144
                  178.06                      -17.872051
               178.31999                      -17.729564
                  178.58                      -17.587705
                  178.84                      -17.446445
               179.10001                      -17.305706
                  179.36                      -17.165382
                  179.62                      -17.025353
                  179.88                      -16.885518
                  180.14                      -16.745816
               180.39999                      -16.606242
                  180.66                      -16.466845
                  180.92                      -16.327726
               181.17999                      -16.189009
                  181.44                      -16.050817
                   181.7                      -15.913247
               181.96001                      -15.776345
                  182.22                      -15.640105
                  182.48                       -15.50447
               182.74001                       -15.36936
                     183                      -15.234704
               183.25999                      -15.100477
                  183.52                      -14.966743
                  183.78                      -14.833673
               184.03999                      -14.701567
                   184.3                      -14.570845
                  184.56                       -14.44203
               184.81999                      -14.315719
                  185.08                      -14.192559
                  185.34                      -14.073215
               185.60001                      -13.958372
                  185.86                      -13.848736
                  186.12                      -13.745068
                  186.38                      -13.648228
                  186.64                      -13.559227
               186.89999                      -13.479285
                  187.16                      -13.409875
                  187.42                      -13.352745
               187.67999                      -13.309923
                  187.94                      -13.283689
                   188.2                      -13.276525
               188.46001                      -13.291041
                  188.72                      -13.329897
                  188.98                      -13.395705
               189.24001                      -13.490944
                   189.5                      -13.617872
               189.75999                      -13.778453
                  190.02                      -13.974285
                  190.28                      -14.206545
               190.53999                      -14.475928
                   190.8                      -14.782602
                  191.06                      -15.126152
               191.31999                      -15.505536
                  191.58                      -15.919021
                  191.84                      -16.364129
               192.10001                      -16.837566
                  192.36                      -17.335151
                  192.62                      -17.851743
                  192.88                      -18.381168
                  193.14                      -18.916161
               193.39999                       -19.44835
                  193.66                      -19.968316
                  193.92                       -20.46577
               194.17999                      -20.929917
                  194.44                      -21.350035
                   194.7                      -21.716277
               194.96001                      -22.020602
                  195.22                      -22.257672
                  195.48                      -22.425482
               195.74001                      -22.525542
                     196                      -22.562531
               196.25999                      -22.543528
                  196.52                      -22.477031
                  196.78                      -22.371996
               197.03999                      -22.237079
                   197.3                      -22.080133
                  197.56                      -21.907969
               197.81999                      -21.726314
                  198.08                       -21.53988
                  198.34                      -21.352486
               198.60001                      -21.167197
                  198.86                      -20.986436
                  199.12                      -20.812075
                  199.38                      -20.645505
                  199.64                      -20.487687
               199.89999                      -20.339199
                  200.16                      -20.200292
                  200.42                      -20.070935
               200.67999                      -19.950893
                  200.94                      -19.839784
                   201.2                      -19.737148
               201.46001                      -19.642499
                  201.72                      -19.555366
                  201.98                      -19.475303
               202.24001                      -19.401894
                   202.5                      -19.334724
               202.75999                      -19.273346
                  203.02                      -19.217252
                  203.28                      -19.165839
               203.53999                      -19.118397
                   203.8                      -19.074113
                  204.06                      -19.032098
               204.31999                      -18.991421
                  204.58                      -18.951164
                  204.84                      -18.910469
               205.10001                       -18.86858
                  205.36                      -18.824866
                  205.62                      -18.778836
                  205.88                      -18.730121
                  206.14                       -18.67846
               206.39999                      -18.623676
                  206.66                      -18.565645
                  206.92                      -18.504289
               207.17999                      -18.439573
                  207.44                      -18.371514
                   207.7                      -18.300205
               207.96001                      -18.225824
                  208.22                      -18.148657
                  208.48                      -18.069096
               208.74001                      -17.987635
                     209                       -17.90484
               209.25999                      -17.821321
                  209.52                      -17.737704
                  209.78                      -17.654586
               210.03999                      -17.572527
                   210.3                      -17.492029
                  210.56                      -17.413538
               210.81999                      -17.337454
                  211.08                      -17.264149
                  211.34                       -17.19398
               211.60001                       -17.12731
                  211.86                      -17.064507
                  212.12                      -17.005963
                  212.38                      -16.952075
                  212.64                      -16.903244
               212.89999                      -16.859868
                  213.16                       -16.82233
                  213.42                      -16.791004
               213.67999                      -16.766253
                  213.94                      -16.748443
                   214.2                      -16.737953
               214.46001                      -16.735195
                  214.72                      -16.740628
                  214.98                      -16.754766
               215.24001                      -16.778192
                   215.5                      -16.811558
               215.75999                       -16.85558
                  216.02                       -16.91104
                  216.28                      -16.978781
               216.53999                      -17.059694
                   216.8                      -17.154718
                  217.06                      -17.264831
               217.31999                      -17.391019
                  217.58                       -17.53426
                  217.84                      -17.695464
               218.10001                      -17.875395
                  218.36                      -18.074562
                  218.62                      -18.293061
                  218.88                      -18.530387
                  219.14                      -18.785185
               219.39999                      -19.054978
                  219.66                      -19.335869
                  219.92                       -19.62227
               220.17999                      -19.906721
                  220.44                      -20.179899
                   220.7                      -20.430942
               220.96001                      -20.648191
                  221.22                      -20.820385
                  221.48                       -20.93815
               221.74001                      -20.995483
                     222                      -20.990757
               222.25999                      -20.926937
                  222.52                        -20.8109
                  222.78                      -20.652136
               223.03999                       -20.46126
                   223.3                      -20.248702
                  223.56                      -20.023812
               223.81999                      -19.794405
                  224.08                      -19.566652
                  224.34                      -19.345196
               224.60001                      -19.133386
                  224.86                      -18.933533
                  225.12                      -18.747145
                  225.38                      -18.575131
                  225.64                      -18.417951
               225.89999                      -18.275723
                  226.16                      -18.148308
                  226.42                      -18.035365
               226.67999                        -17.9364
                  226.94                      -17.850807
                   227.2                      -17.777914
               227.46001                      -17.717019
                  227.72                      -17.667427
                  227.98                      -17.628487
               228.24001                      -17.599606
                   228.5                      -17.580254
               228.75999                      -17.569957
                  229.02                      -17.568281
                  229.28                      -17.574793
               229.53999                      -17.589033
                   229.8                      -17.610484
                  230.06                      -17.638554
               230.31999                      -17.672563
                  230.58                      -17.711759
                  230.84                      -17.755333
               231.10001                      -17.802447
                  231.36                      -17.852269
                  231.62                      -17.904002
                  231.88                      -17.956891
                  232.14                      -18.010244
               232.39999                      -18.063413
                  232.66                      -18.115777
                  232.92                      -18.166733
               233.17999                      -18.215669
                  233.44                      -18.261969
                   233.7                      -18.305028
               233.96001                      -18.344271
                  234.22                      -18.379208
                  234.48                       -18.40947
               234.74001                      -18.434855
                     235                      -18.455352
               235.25999                      -18.471154
                  235.52                      -18.482633
                  235.78                      -18.490312
               236.03999                      -18.494812
                   236.3                      -18.496808
                  236.56                      -18.496982
               236.81999                      -18.495996
                  237.08                      -18.494485
                  237.34                      -18.493055
               237.60001                      -18.492309
                  237.86                      -18.492868
                  238.12                       -18.49539
                  238.38                      -18.500579
                  238.64                      -18.509185
               238.89999                      -18.521986
                  239.16                      -18.539764
                  239.42                      -18.563274
               239.67999                      -18.593217
                  239.94                      -18.630223
                   240.2                      -18.674848
               240.46001                      -18.727581
                  240.72                      -18.788877
                  240.98                      -18.859183
               241.24001                      -18.938985
                   241.5                      -19.028835
               241.75999                      -19.129387
                  242.02                      -19.241405
                  242.28                      -19.365774
               242.53999                      -19.503485
                   242.8                      -19.655625
                  243.06                      -19.823366
               243.31999                      -20.007958
                  243.58                      -20.210733
                  243.84                      -20.433135
               244.10001                      -20.676761
                  244.36                      -20.943409
                  244.62                      -21.235159
                  244.88                      -21.554429
                  245.14                      -21.904054
               245.39999                      -22.287335
                  245.66                      -22.708069
                  245.92                       -23.17052
               246.17999                       -23.67933
                  246.44                      -24.239258
                   246.7                      -24.854632
               246.96001                      -25.528227
                  247.22                      -26.259047
                  247.48                      -27.038084
               247.74001                      -27.840687
                     248                      -28.614617
               248.25999                      -29.266983
                  248.52                       -29.66556
                  248.78                      -29.681286
               249.03999                      -29.266695
                   249.3                      -28.493172
                  249.56                      -27.498435
               249.81999                      -26.410963
                  250.08                      -25.317167
                  250.34                      -24.264896
               250.60001                      -23.276954
                  250.86                      -22.362212
                  251.12                      -21.522415
                  251.38                      -20.755901
                  251.64                      -20.059489
               251.89999                      -19.429428
                  252.16                      -18.861826
                  252.42                      -18.352848
               252.67999                      -17.898781
                  252.94                       -17.49606
                   253.2                      -17.141261
               253.46001                      -16.831091
                  253.72                       -16.56239
                  253.98                      -16.332119
               254.24001                      -16.137375
                   254.5                      -15.975386
               254.75999                      -15.843526
                  255.02                      -15.739319
                  255.28                      -15.660444
               255.53999                      -15.604738
                   255.8                       -15.57019
                  256.06                      -15.554944
               256.32001                      -15.557284
               256.57999                      -15.575624
                  256.84                      -15.608503
               257.10001                      -15.654566
               257.35999                      -15.712563
                  257.62                      -15.781327
                  257.88                       -15.85977
               258.13998                      -15.946867
               258.39999                      -16.041644
                  258.66                      -16.143154
               258.92001                      -16.250467
               259.17999                      -16.362645
                  259.44                      -16.478726
               259.70001                      -16.597715
               259.95999                      -16.718577
                  260.22                       -16.84024
               260.48001                      -16.961611
               260.73999                      -17.081595
                     261                      -17.199123
               261.26001                      -17.313174
               261.51999                      -17.422821
                  261.78                      -17.527233
               262.04001                      -17.625709
               262.29999                      -17.717677
                  262.56                      -17.802703
               262.82001                      -17.880498
               263.07999                      -17.950911
                  263.34                      -18.013946
               263.60001                      -18.069762
               263.85999                      -18.118688
                  264.12                      -18.161228
                  264.38                      -18.198058
               264.63998                       -18.23002
               264.89999                        -18.2581
                  265.16                      -18.283385
               265.42001                      -18.307027
               265.67999                      -18.330196
                  265.94                      -18.354031
               266.20001                      -18.379609
               266.45999                      -18.407924
                  266.72                      -18.439874
               266.98001                      -18.476273
               267.23999                      -18.517869
                   267.5                       -18.56536
               267.76001                      -18.619427
               268.01999                      -18.680746
                  268.28                      -18.750005
               268.54001                      -18.827902
               268.79999                       -18.91514
                  269.06                      -19.012416
               269.32001                      -19.120403
               269.57999                      -19.239745
                  269.84                      -19.371052
               270.10001                      -19.514911
               270.35999                      -19.671904
                  270.62                      -19.842643
                  270.88                      -20.027812
               271.13998                      -20.228209
               271.39999                      -20.444787
                  271.66                      -20.678696
               271.92001                      -20.931308
               272.17999                       -21.20424
                  272.44                      -21.499371
               272.70001                      -21.818854
               272.95999                      -22.165148
                  273.22                      -22.541067
               273.48001                      -22.949857
               273.73999                       -23.39533
                     274                      -23.882055
               274.26001                      -24.415626
               274.51999                      -25.003048
                  274.78                       -25.65324
               275.04001                      -26.377756
               275.29999                      -27.191764
                  275.56                      -28.115454
               275.82001                      -29.176007
               276.07999                      -30.410252
                  276.34                       -31.86734
               276.60001                      -33.606767
               276.85999                       -35.66685
                  277.12                      -37.888304
                  277.38                      -39.336455
               277.63998                      -38.543071
               277.89999                      -36.194538
                  278.16                       -33.71024
               278.42001                      -31.519588
               278.67999                      -29.637079
                  278.94                      -28.005594
               279.20001                      -26.570857
               279.45999                      -25.291513
                  279.72                      -24.137484
               279.98001                      -23.087104
               280.23999                      -22.124775
                   280.5                      -21.239274
               280.76001                      -20.422542
               281.01999                      -19.668801
                  281.28                      -18.973911
               281.54001                      -18.334882
               281.79999                      -17.749512
                  282.06                      -17.216101
               282.32001                       -16.73325
               282.57999                      -16.299696
                  282.84                      -15.914199
               283.10001                      -15.575448
               283.35999                      -15.282005
                  283.62                      -15.032256
                  283.88                      -14.824381
               284.13998                      -14.656344
               284.39999                       -14.52589
                  284.66                      -14.430557
               284.92001                       -14.36771
               285.17999                      -14.334574
                  285.44                      -14.328292
               285.70001                      -14.345999
               285.95999                      -14.384878
                  286.22                      -14.442243
               286.48001                      -14.515596
               286.73999                       -14.60267
                     287                      -14.701461
               287.26001                      -14.810216
               287.51999                      -14.927406
                  287.78                       -15.05169
               288.04001                      -15.181836
               288.29999                      -15.316677
                  288.56                      -15.455054
               288.82001                      -15.595792
               289.07999                      -15.737698
                  289.34                      -15.879583
               289.60001                      -16.020313
               289.85999                      -16.158858
                  290.12                      -16.294352
                  290.38                      -16.426132
               290.63998                      -16.553756
               290.89999                      -16.676995
                  291.16                      -16.795789
               291.42001                      -16.910213
               291.67999                      -17.020413
                  291.94                      -17.126574
               292.20001                      -17.228892
               292.45999                      -17.327578
                  292.72                      -17.422895
               292.98001                      -17.515188
               293.23999                      -17.604932
                   293.5                      -17.692766
               293.76001                      -17.779498
               294.01999                      -17.866096
                  294.28                      -17.953641
               294.54001                      -18.043267
               294.79999                      -18.136092
                  295.06                      -18.233161
               295.32001                      -18.335397
               295.57999                      -18.443587
                  295.84                       -18.55839
               296.10001                      -18.680377
               296.35999                      -18.810076
                  296.62                      -18.948036
                  296.88                      -19.094877
               297.13998                      -19.251326
               297.39999                      -19.418224
                  297.66                      -19.596518
               297.92001                      -19.787224
               298.17999                      -19.991381
                  298.44                      -20.210011
               298.70001                      -20.444078
               298.95999                      -20.694478
                  299.22                      -20.962064
               299.48001                      -21.247679
               299.73999                       -21.55224
                     300                      -21.876821

        Frequency / MHz                S1,1 (11)/abs,dB
----------------------------------------------------------------------
                      40                       -2.250544
               40.259998                      -2.3441719
                   40.52                      -2.4432964
               40.779999                      -2.5479788
               41.040001                       -2.658225
               41.299999                      -2.7739812
               41.560001                      -2.8951323
                   41.82                      -3.0215118
               42.079998                        -3.15291
                   42.34                      -3.2890959
               42.599998                       -3.429831
               42.860001                      -3.5748776
               43.119999                      -3.7240102
               43.380001                      -3.8770038
               43.639999                      -4.0336269
               43.900002                      -4.1936154
                   44.16                      -4.3566523
               44.419998                      -4.5223478
                   44.68                      -4.6902142
               44.939999                      -4.8596654
               45.200001                      -5.0300192
               45.459999                      -5.2005129
               45.720001                      -5.3703234
                   45.98                      -5.5385999
               46.240002                      -5.7044913
                    46.5                      -5.8671659
               46.759998                      -6.0258238
                   47.02                      -6.1796969
               47.279999                      -6.3280374
               47.540001                      -6.4701035
               47.799999                      -6.6051379
               48.060001                      -6.7323657
                   48.32                      -6.8509935
               48.579998                      -6.9602292
                   48.84                      -7.0593242
               49.099998                      -7.1476099
               49.360001                      -7.2245526
               49.619999                      -7.2897885
               49.880001                        -7.34315
               50.139999                       -7.384668
               50.400002                      -7.4145523
                   50.66                      -7.4331582
               50.919998                      -7.4409404
                   51.18                      -7.4384103
               51.439999                      -7.4261019
               51.700001                      -7.4045546
               51.959999                      -7.3743094
               52.220001                      -7.3359214
                   52.48                       -7.289982
               52.740002                      -7.2371312
