        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
                   90.18                       174.29249
               90.440002                       170.25989
               90.699997                       166.15883
               90.959999                       161.98629
               91.220001                       157.73912
               91.480003                       153.41359
               91.739998                       149.00664
                      92                       144.51511
               92.260002                       139.93669
               92.519997                       135.26976
               92.779999                       130.51344
               93.040001                       125.66783
               93.300003                       120.73294
               93.559998                       115.70952
                   93.82                       110.59781
               94.080002                       105.39823
               94.339996                       100.11123
               94.599998                       94.737234
               94.860001                       89.277017
               95.120003                       83.732106
               95.379997                       78.104358
               95.639999                       72.396395
               95.900002                       66.612046
               96.159996                       60.754914
               96.419998                       54.829803
                   96.68                       48.842189
               96.940002                       42.797527
               97.199997                       36.702156
               97.459999                        30.56351
               97.720001                       24.389893
               97.980003                       18.190594
               98.239998                       11.976216
                    98.5                       5.7585566
               98.760002                     -0.44970241
               99.019997                      -6.6350128
               99.279999                      -12.783713
               99.540001                      -18.881815
               99.800003                      -24.916423
                  100.06                      -30.874864
                  100.32                      -36.746313
                  100.58                      -42.521592
                  100.84                      -48.192723
                   101.1                      -53.754137
                  101.36                      -59.201676
                  101.62                      -64.532612
                  101.88                      -69.745743
                  102.14                      -74.841063
                   102.4                      -79.819341
                  102.66                      -84.682655
                  102.92                      -89.433298
                  103.18                      -94.075422
                  103.44                      -98.613181
                   103.7                      -103.05171
                  103.96                      -107.39735
                  104.22                      -111.65611
                  104.48                      -115.83488
                  104.74                      -119.93987
                     105                      -123.97701
                  105.26                      -127.95228
                  105.52                      -131.87052
                  105.78                      -135.73695
                  106.04                       -139.5565
                   106.3                      -143.33507
                  106.56                      -147.07846
                  106.82                      -150.79353
                  107.08                      -154.48763
                  107.34                      -158.16806
                   107.6                      -161.84204
                  107.86                      -165.51614
                  108.12                      -169.19614
                  108.38                      -172.88783
                  108.64                      -176.59569
                   108.9                        179.6747
                  109.16                       175.91777
                  109.42                       172.12685
                  109.68                        168.2944
                  109.94                       164.41223
                   110.2                       160.47192
                  110.46                        156.4656
                  110.72                       152.38662
                  110.98                       148.22982
                  111.24                       143.99182
                   111.5                       139.67077
                  111.76                        135.2659
                  112.02                       130.77699
                  112.28                       126.20426
                  112.54                       121.54848
                   112.8                       116.81095
                  113.06                       111.99463
                  113.32                       107.10476
                  113.58                       102.14965
                  113.84                       97.140986
                   114.1                       92.093859
                  114.36                       87.025968
                  114.62                       81.956547
                  114.88                       76.905157
                  115.14                       71.889941
                   115.4                       66.927401
                  115.66                       62.031409
                  115.92                       57.213449
                  116.18                       52.483351
                  116.44                       47.849641
                   116.7                       43.319859
                  116.96                       38.901658
                  117.22                       34.601697
                  117.48                       30.425776
                  117.74                       26.376949
                     118                       22.455439
                  118.26                       18.658067
                  118.52                       14.977744
                  118.78                       11.405064
                  119.04                       7.9281155
                   119.3                       4.5355331
                  119.56                         1.21628
                  119.82                      -2.0391519
                  120.08                      -5.2384128
                  120.34                      -8.3883864
                   120.6                      -11.495631
                  120.86                      -14.567249
                  121.12                      -17.612312
                  121.38                      -20.640652
                  121.64                      -23.663203
                   121.9                      -26.690562
                  122.16                      -29.732347
                  122.42                      -32.796093
                  122.68                      -35.887601
                  122.94                      -39.010147
                   123.2                      -42.167006
                  123.46                      -45.361348
                  123.72                      -48.597983
                  123.98                      -51.884015
                  124.24                      -55.228621
                   124.5                      -58.642407
                  124.76                      -62.137495
                  125.02                      -65.724711
                  125.28                       -69.41487
                  125.54                      -73.217155
                   125.8                      -77.140088
                  126.06                      -81.192193
                  126.32                      -85.382432
                  126.58                      -89.722389
                  126.84                      -94.224959
                   127.1                      -98.904785
                  127.36                      -103.77684
                  127.62                      -108.85479
                  127.88                        -114.149
                  128.14                      -119.66517
               128.39999                      -125.40231
                  128.66                       -131.3531
                  128.92                        -137.503
               129.17999                      -143.83125
                  129.44                      -150.31185
                   129.7                      -156.91429
               129.96001                      -163.60558
                  130.22                      -170.35086
                  130.48                      -177.11526
               130.74001                       176.13476
                     131                       169.43003
               131.25999                       162.79754
                  131.52                       156.25848
                  131.78                       149.82728
               132.03999                       143.51083
                   132.3                       137.30869
                  132.56                       131.21212
               132.81999                       125.20724
                  133.08                       119.27535
                  133.34                       113.39702
               133.60001                       107.55322
                  133.86                       101.72854
                  134.12                       95.911734
                  134.38                       90.097221
                  134.64                       84.283255
               134.89999                        78.47224
                  135.16                        72.66953
                  135.42                       66.882117
               135.67999                       61.119296
                  135.94                       55.392648
                   136.2                       49.716923
               136.46001                       44.110268
                  136.72                       38.594097
                  136.98                       33.192455
               137.24001                       27.929603
                   137.5                        22.82729
               137.75999                       17.902997
                  138.02                       13.167325
                  138.28                       8.6239925
               138.53999                       4.2693919
                   138.8                     0.095108106
                  139.06                      -3.9106612
               139.31999                      -7.7601557
                  139.58                      -11.463976
                  139.84                      -15.030974
               140.10001                      -18.467488
                  140.36                      -21.778218
                  140.62                      -24.967532
                  140.88                        -28.0409
                  141.14                      -31.004656
               141.39999                      -33.867108
                  141.66                      -36.636555
                  141.92                      -39.320984
               142.17999                      -41.927384
                  142.44                      -44.460128
                   142.7                      -46.920963
               142.96001                      -49.310113
                  143.22                      -51.626254
                  143.48                      -53.868741
               143.74001                      -56.037575
                     144                      -58.134494
               144.25999                      -60.162788
                  144.52                       -62.12704
                  144.78                      -64.031625
               145.03999                      -65.880695
                   145.3                      -67.677089
                  145.56                      -69.422777
               145.81999                      -71.118849
                  146.08                      -72.766618
                  146.34                      -74.368271
               146.60001                      -75.927302
                  146.86                       -77.45027
                  147.12                      -78.943733
                  147.38                       -80.41621
                  147.64                      -81.875577
               147.89999                      -83.329915
                  148.16                      -84.785128
                  148.42                      -86.247116
               148.67999                      -87.720689
                  148.94                      -89.210435
                   149.2                      -90.721819
               149.46001                      -92.261398
                  149.72                       -93.83573
                  149.98                      -95.451807
               150.24001                      -97.116406
                   150.5                      -98.835209
               150.75999                      -100.61303
                  151.02                      -102.45335
                  151.28                      -104.35859
               151.53999                      -106.33181
                   151.8                       -108.3754
                  152.06                      -110.49287
               152.31999                      -112.68858
                  152.58                      -114.96713
                  152.84                      -117.33442
               153.10001                       -119.7957
                  153.36                      -122.35641
                  153.62                      -125.02117
                  153.88                      -127.79499
                  154.14                      -130.68313
               154.39999                      -133.69125
                  154.66                      -136.82505
                  154.92                      -140.09239
               155.17999                      -143.50159
                  155.44                      -147.06159
                   155.7                      -150.78268
               155.96001                      -154.67447
                  156.22                      -158.74766
                  156.48                      -163.01254
               156.74001                      -167.47916
                     157                      -172.15778
               157.25999                      -177.05913
                  157.52                       177.80698
                  157.78                       172.43047
               158.03999                       166.80218
                   158.3                       160.91379
                  158.56                       154.75919
               158.81999                       148.33553
                  159.08                       141.64238
                  159.34                       134.68499
               159.60001                       127.47275
                  159.86                       120.02117
                  160.12                       112.35234
                  160.38                       104.49468
                  160.64                        96.48423
               160.89999                       88.362097
                  161.16                       80.175925
                  161.42                        71.97773
               161.67999                       63.819969
                  161.94                       55.755758
                   162.2                       47.835144
               162.46001                       40.102275
                  162.72                       32.594751
                  162.98                       25.342072
               163.24001                       18.364788
                   163.5                       11.676011
               163.75999                       5.2814245
                  164.02                      -0.8194096
                  164.28                      -6.6315184
               164.53999                      -12.164955
                   164.8                      -17.431304
                  165.06                      -22.444773
               165.31999                      -27.220004
                  165.58                      -31.772735
                  165.84                      -36.118484
               166.10001                      -40.271455
                  166.36                      -44.246081
                  166.62                      -48.054592
                  166.88                      -51.709019
                  167.14                      -55.219406
               167.39999                       -58.59516
                  167.66                      -61.844802
                  167.92                      -64.975758
               168.17999                      -67.995468
                  168.44                      -70.909391
                   168.7                       -73.72321
               168.96001                      -76.440642
                  169.22                      -79.064965
                  169.48                      -81.597707
               169.74001                      -84.040182
                     170                      -86.392391
               170.25999                      -88.653457
                  170.52                      -90.823162
                  170.78                      -92.900413
               171.03999                      -94.883464
                   171.3                      -96.771437
                  171.56                      -98.563023
               171.81999                      -100.25626
                  172.08                       -101.8496
                  172.34                      -103.34088
               172.60001                      -104.72833
                  172.86                      -106.01066
                  173.12                      -107.18829
                  173.38                      -108.26211
                  173.64                      -109.23538
               173.89999                      -110.11358
                  174.16                      -110.90326
                  174.42                       -111.6136
               174.67999                      -112.25444
                  174.94                      -112.83735
                   175.2                      -113.37524
               175.46001                        -113.881
                  175.72                      -114.36972
                  175.98                      -114.85603
               176.24001                      -115.35567
                   176.5                      -115.88395
               176.75999                      -116.45615
                  177.02                      -117.08475
                  177.28                      -117.78154
               177.53999                       -118.5557
                   177.8                      -119.41444
                  178.06                      -120.36324
               178.31999                      -121.40536
                  178.58                      -122.54343
                  178.84                      -123.77986
               179.10001                      -125.11574
                  179.36                      -126.55216
                  179.62                      -128.09064
                  179.88                      -129.73098
                  180.14                      -131.47404
               180.39999                      -133.32005
                  180.66                      -135.26944
                  180.92                      -137.32331
               181.17999                       -139.4834
                  181.44                       -141.7532
                   181.7                      -144.13754
               181.96001                      -146.64253
                  182.22                      -149.27669
                  182.48                      -152.04964
               182.74001                      -154.97295
                     183                      -158.05976
               183.25999                      -161.32601
                  183.52                      -164.78832
                  183.78                        -168.467
               184.03999                      -172.38502
                   184.3                      -176.56881
                  184.56                       178.95233
               184.81999                       174.14519
                  185.08                       168.97501
                  185.34                       163.40595
               185.60001                       157.40457
                  185.86                       150.94353
                  186.12                       144.00734
                  186.38                       136.59904
                  186.64                       128.74662
               186.89999                       120.50733
                  187.16                       111.96883
                  187.42                       103.24193
               187.67999                       94.449015
                  187.94                       85.707684
                   188.2                       77.118257
               188.46001                       68.751986
                  188.72                       60.651928
                  188.98                       52.833166
               189.24001                        45.29307
                   189.5                       38.014605
               189.75999                       30.975249
                  190.02                       24.151615
                  190.28                       17.521413
               190.53999                       11.066941
                   190.8                       4.7750789
                  191.06                      -1.3620371
               191.31999                      -7.3485613
                  191.58                      -13.183838
                  191.84                      -18.864589
               192.10001                      -24.384692
                  192.36                      -29.738031
                  192.62                      -34.916953
                  192.88                      -39.915342
                  193.14                      -44.727729
               193.39999                      -49.350839
                  193.66                      -53.783357
                  193.92                      -58.026817
               194.17999                      -62.084277
                  194.44                      -65.960984
                   194.7                      -69.663055
               194.96001                      -73.197704
                  195.22                      -76.571927
                  195.48                      -79.792718
               195.74001                       -82.86663
                     196                      -85.799349
               196.25999                       -88.59612
                  196.52                      -91.262189
                  196.78                      -93.802146
               197.03999                       -96.22036
                   197.3                      -98.520768
                  197.56                      -100.70621
               197.81999                      -102.77953
                  198.08                      -104.74072
                  198.34                      -106.58979
               198.60001                      -108.32411
                  198.86                       -109.9415
                  199.12                      -111.43671
                  199.38                      -112.80668
                  199.64                      -114.04639
               199.89999                      -115.15146
                  200.16                      -116.11774
                  200.42                      -116.94086
               200.67999                      -117.61645
                  200.94                      -118.14035
                   201.2                      -118.50907
               201.46001                      -118.72042
                  201.72                      -118.77594
                  201.98                      -118.68043
               202.24001                      -118.44437
                   202.5                      -118.08418
               202.75999                      -117.62213
                  203.02                      -117.08555
                  203.28                      -116.50569
               203.53999                      -115.91535
                   203.8                      -115.34861
                  204.06                      -114.83804
               204.31999                       -114.4138
                  204.58                      -114.10278
                  204.84                      -113.92771
               205.10001                      -113.90585
                  205.36                      -114.04858
                  205.62                      -114.36156
                  205.88                      -114.84481
                  206.14                      -115.49242
               206.39999                        -116.295
                  206.66                      -117.24073
                  206.92                      -118.31586
               207.17999                      -119.50726
                  207.44                      -120.80183
                   207.7                      -122.18775
               207.96001                      -123.65477
                  208.22                      -125.19391
                  208.48                      -126.79666
               208.74001                      -128.45623
                     209                      -130.16673
               209.25999                      -131.92334
                  209.52                      -133.72258
                  209.78                      -135.56422
               210.03999                      -137.44957
                   210.3                      -139.38257
                  210.56                      -141.37064
               210.81999                      -143.42276
                  211.08                      -145.55159
                  211.34                      -147.77026
               211.60001                      -150.09646
                  211.86                      -152.55161
                  212.12                       -155.1626
                  212.38                      -157.96767
                  212.64                      -161.02017
               212.89999                      -164.39723
                  213.16                      -168.21296
                  213.42                      -172.64242
               213.67999                      -177.96079
                  213.94                       175.38038
                   214.2                       166.62266
               214.46001                       154.50776
                  214.72                       137.30486
                  214.98                       114.33619
               215.24001                         89.4507
                   215.5                       68.712059
               215.75999                       53.722798
                  216.02                       42.983336
                  216.28                       34.909073
               216.53999                       28.474268
                   216.8                       23.068692
                  217.06                       18.323404
               217.31999                       14.008036
                  217.58                       9.9724331
                  217.84                       6.1138678
               218.10001                       2.3610888
                  218.36                      -1.3383602
                  218.62                      -5.0244769
                  218.88                      -8.7280794
                  219.14                      -12.474519
               219.39999                      -16.284562
                  219.66                      -20.174383
                  219.92                      -24.155781
               220.17999                      -28.235754
                  220.44                      -32.416485
                   220.7                      -36.694041
               220.96001                       -41.05946
                  221.22                      -45.499193
                  221.48                       -49.99466
               221.74001                      -54.524445
                     222                      -59.064061
               222.25999                      -63.588156
                  222.52                      -68.070729
                  222.78                      -72.486857
               223.03999                      -76.812716
                   223.3                      -81.028418
                  223.56                      -85.115384
               223.81999                      -89.060938
                  224.08                      -92.855027
                  224.34                      -96.491748
               224.60001                      -99.968696
                  224.86                      -103.28718
                  225.12                       -106.4494
                  225.38                      -109.45971
                  225.64                       -112.3227
               225.89999                      -115.04429
                  226.16                      -117.62818
                  226.42                      -120.08005
               226.67999                      -122.40406
                  226.94                      -124.60459
                   227.2                      -126.68534
               227.46001                      -128.64981
                  227.72                       -130.5015
                  227.98                      -132.24194
               228.24001                      -133.87179
                   228.5                       -135.3906
               228.75999                      -136.79664
                  229.02                      -138.08661
                  229.28                      -139.25726
               229.53999                      -140.30419
                   229.8                      -141.22238
                  230.06                      -142.00747
               230.31999                      -142.65465
                  230.58                      -143.15844
                  230.84                      -143.51383
               231.10001                      -143.71666
                  231.36                      -143.76256
                  231.62                      -143.65043
                  231.88                      -143.38225
                  232.14                      -142.96457
               232.39999                      -142.40963
                  232.66                      -141.73558
                  232.92                      -140.96622
               233.17999                      -140.13021
                  233.44                      -139.25944
                   233.7                      -138.38802
               233.96001                      -137.54982
                  234.22                      -136.77741
                  234.48                      -136.10007
               234.74001                      -135.54338
                     235                      -135.12592
               235.25999                       -134.8608
                  235.52                      -134.75326
                  235.78                      -134.80113
               236.03999                      -134.99565
                   236.3                      -135.32307
                  236.56                       -135.7637
               236.81999                      -136.29568
                  237.08                      -136.89434
                  237.34                      -137.53233
               237.60001                      -138.18082
                  237.86                      -138.80788
                  238.12                      -139.37615
                  238.38                      -139.84214
                  238.64                       -140.1501
               238.89999                      -140.22987
                  239.16                      -139.98683
                  239.42                      -139.28939
               239.67999                      -137.94892
                  239.94                      -135.68501
                   240.2                      -132.06687
               240.46001                      -126.43268
                  240.72                      -117.83188
                  240.98                      -105.26215
               241.24001                      -88.818549
                   241.5                      -71.242996
               241.75999                      -56.348596
                  242.02                      -45.639733
                  242.28                      -38.508578
               242.53999                      -33.900549
                   242.8                      -30.988595
                  243.06                      -29.222796
               243.31999                      -28.251712
                  243.58                        -27.8478
                  243.84                      -27.862008
               244.10001                      -28.195321
                  244.36                      -28.779764
                  244.62                      -29.569662
                  244.88                      -30.531354
                  245.14                      -31.641013
               245.39999                      -32.881592
                  245.66                       -34.23867
                  245.92                      -35.702844
               246.17999                      -37.266907
                  246.44                      -38.925822
                   246.7                      -40.678285
               246.96001                      -42.524074
                  247.22                      -44.465595
                  247.48                      -46.505034
               247.74001                        -48.6472
                     248                      -50.894936
               248.25999                      -53.253263
                  248.52                      -55.725683
                  248.78                      -58.316124
               249.03999                      -61.028968
                   249.3                      -63.869235
                  249.56                      -66.840858
               249.81999                      -69.948648
                  250.08                      -73.196102
                  250.34                      -76.585188
               250.60001                       -80.11656
                  250.86                      -83.786721
                  251.12                      -87.589552
                  251.38                      -91.515654
                  251.64                      -95.551039
               251.89999                      -99.679534
                  252.16                      -103.88103
                  252.42                      -108.13411
               252.67999                      -112.41472
                  252.94                      -116.69927
                   253.2                      -120.96306
               253.46001                      -125.18335
                  253.72                      -129.33895
                  253.98                      -133.41039
               254.24001                      -137.38218
                   254.5                      -141.24183
               254.75999                      -144.98063
                  255.02                      -148.59396
                  255.28                      -152.07965
               255.53999                      -155.43879
                   255.8                      -158.67423
                  256.06                      -161.79054
               256.32001                      -164.79167
               256.57999                      -167.68221
                  256.84                      -170.46499
               257.10001                       -173.1433
               257.35999                      -175.71844
                  257.62                      -178.19108
                  257.88                       179.43944
               258.13998                       177.17554
               258.39999                       175.02157
                  258.66                        172.9865
               258.92001                       171.08585
               259.17999                       169.34497
                  259.44                       167.80495
               259.70001                       166.53399
               259.95999                       165.64596
                  260.22                        165.3415
               260.48001                       166.00309
               260.73999                       168.44688
                     261                       174.70552
               261.26001                      -169.26616
               261.51999                      -130.73078
                  261.78                      -90.018695
               262.04001                      -72.378447
               262.29999                      -65.437006
                  262.56                      -62.587562
               262.82001                      -61.592868
               263.07999                      -61.567295
                  263.34                      -62.099286
               263.60001                      -62.970489
               263.85999                      -64.053048
                  264.12                      -65.265651
                  264.38                      -66.553444
               264.63998                      -67.876861
               264.89999                      -69.206397
                  265.16                      -70.517359
               265.42001                      -71.788975
               265.67999                      -73.002016
                  265.94                      -74.135499
               266.20001                      -75.168444
               266.45999                      -76.077678
                  266.72                      -76.839162
               266.98001                      -77.428198
               267.23999                      -77.822927
                   267.5                      -78.004338
               267.76001                      -77.960625
               268.01999                      -77.688948
                  268.28                      -77.198266
               268.54001                      -76.510439
               268.79999                      -75.659997
                  269.06                      -74.692843
               269.32001                      -73.662085
               269.57999                      -72.624116
                  269.84                      -71.631608
               270.10001                      -70.730895
               270.35999                      -69.958047
                  270.62                      -69.336008
                  270.88                      -68.876146
               271.13998                      -68.580644
               271.39999                      -68.441635
                  271.66                      -68.447974
               271.92001                      -68.584141
               272.17999                      -68.834618
                  272.44                      -69.184759
               272.70001                      -69.620799
               272.95999                      -70.131589
                  273.22                      -70.707292
               273.48001                      -71.340258
               273.73999                      -72.023277
                     274                      -72.750449
               274.26001                       -73.51674
               274.51999                       -74.31822
                  274.78                      -75.151177
               275.04001                      -76.014512
               275.29999                      -76.907573
                  275.56                      -77.830796
               275.82001                      -78.786586
               276.07999                      -79.777564
                  276.34                      -80.806355
               276.60001                      -81.876454
               276.85999                      -82.990922
                  277.12                      -84.153256
                  277.38                      -85.367173
               277.63998                      -86.637259
               277.89999                      -87.968108
                  278.16                      -89.365182
               278.42001                      -90.835476
               278.67999                      -92.385328
                  278.94                      -94.021514
               279.20001                       -95.75059
               279.45999                      -97.579113
                  279.72                      -99.512549
               279.98001                      -101.55658
               280.23999                      -103.71623
                   280.5                      -105.99522
               280.76001                      -108.39551
               281.01999                       -110.9182
                  281.28                       -113.5611
               281.54001                      -116.31918
               281.79999                      -119.18349
                  282.06                      -122.14113
               282.32001                      -125.17526
               282.57999                      -128.26513
                  282.84                      -131.38691
               283.10001                      -134.51416
               283.35999                       -137.6191
                  283.62                      -140.67291
                  283.88                      -143.64737
               284.13998                      -146.51605
               284.39999                      -149.25337
                  284.66                      -151.83639
               284.92001                      -154.24433
               285.17999                      -156.45819
                  285.44                      -158.45981
               285.70001                      -160.22911
               285.95999                      -161.74486
                  286.22                      -162.98063
               286.48001                      -163.90298
               286.73999                      -164.46841
                     287                      -164.62031
               287.26001                       -164.2822
               287.51999                      -163.35351
                  287.78                       -161.6994
               288.04001                      -159.14174
               288.29999                      -155.45453
                  288.56                      -150.37287
               288.82001                      -143.65305
               289.07999                      -135.21269
                  289.34                       -125.3488
               289.60001                      -114.86113
               289.85999                      -104.81911
                  290.12                      -96.074723
                  290.38                      -88.982473
               290.63998                      -83.488597
               290.89999                      -79.352016
                  291.16                      -76.299741
               291.42001                      -74.093316
               291.67999                      -72.544339
                  291.94                      -71.510521
               292.20001                      -70.884112
               292.45999                      -70.583584
                  292.72                      -70.545117
               292.98001                      -70.719093
               293.23999                      -71.063773
                   293.5                       -71.54571
               293.76001                       -72.13715
               294.01999                      -72.814486
                  294.28                      -73.557612
               294.54001                      -74.348165
               294.79999                      -75.169097
                  295.06                      -76.002927
               295.32001                      -76.830856
               295.57999                      -77.632776
                  295.84                      -78.387484
               296.10001                       -79.07247
               296.35999                      -79.665439
                  296.62                      -80.146941
                  296.88                        -80.5008
               297.13998                      -80.716743
               297.39999                      -80.794333
                  297.66                       -80.74297
               297.92001                      -80.583198
               298.17999                      -80.346928
                  298.44                      -80.074814
               298.70001                      -79.811661
               298.95999                      -79.603586
                  299.22                      -79.488619
               299.48001                      -79.495614
               299.73999                      -79.639649
                     300                      -79.921818

