        Frequency / MHz                S1,1/abs,dB
                  122.42                       -15.88067
                  122.68                       -13.28664
                  122.94                      -11.233202
                   123.2                      -9.5473129
                  123.46                      -8.1084486
                  123.72                      -6.8468734
                  123.98                       -5.737838
                  124.24                      -4.7901057
                   124.5                      -4.0304197
                  124.76                      -3.4896678
                  125.02                      -3.1940312
                  125.28                      -3.1600282
                  125.54                      -3.3898797
                   125.8                      -3.8628938
                  126.06                      -4.5189195
                  126.32                      -5.2355016
                  126.58                      -5.8226788
                  126.84                      -6.0888695
                   127.1                      -5.9716047
                  127.36                      -5.5781335
                  127.62                      -5.0731509
                  127.88                      -4.5707056
                  128.14                      -4.1151005
               128.39999                      -3.7075097
                  128.66                      -3.3353779
                  128.92                      -2.9904308
               129.17999                      -2.6736226
                  129.44                      -2.3908399
                   129.7                      -2.1459061
               129.96001                      -1.9363264
                  130.22                      -1.7537638
                  130.48                      -1.5880961
               130.74001                      -1.4321861
                     131                      -1.2844004
               131.25999                       -1.147608
                  131.52                      -1.0257227
                  131.78                     -0.92026383
               132.03999                     -0.82896749
                   132.3                     -0.74695395
                  132.56                     -0.66943901
               132.82001                     -0.59417264
                  133.08                     -0.52213447
                  133.34                     -0.45624263
               133.60001                     -0.39910655
                  133.86                     -0.35133618
                  134.12                     -0.31134469
                  134.38                     -0.27659086
                  134.64                      -0.2453704
               134.89999                     -0.21803579
                  135.16                     -0.19696577
                  135.42                     -0.18548966
               135.67999                     -0.18654204
                  135.94                     -0.20189897
                   136.2                     -0.23239404
               136.46001                     -0.27887642
                  136.72                     -0.34331725
                  136.98                     -0.42942168
               137.24001                     -0.54242818
                   137.5                     -0.68817514
               137.75999                     -0.87179791
                  138.02                      -1.0964227
                  138.28                      -1.3620665
               138.53999                      -1.6647948
                   138.8                      -1.9961713
                  139.06                      -2.3431422
               139.32001                      -2.6886373
                  139.58                      -3.0132051
                  139.84                      -3.2976894
               140.10001                      -3.5264182
                  140.36                      -3.6898365
                  140.62                      -3.7856358
                  140.88                      -3.8181434
                  141.14                      -3.7965909
               141.39999                      -3.7330618
                  141.66                      -3.6405657
                  141.92                      -3.5313077
