        Frequency / MHz                S1,1/arg,degrees
               135.67999                      -56.808167
                  135.94                      -61.328442
                   136.2                      -66.180118
               136.46001                      -71.405949
                  136.72                      -77.060117
                  136.98                      -83.202342
               137.24001                      -89.889835
                   137.5                       -97.17139
               137.75999                      -105.08392
                  138.02                      -113.65192
                  138.28                      -122.88667
               138.53999                      -132.78345
                   138.8                      -143.31609
                  139.06                      -154.42744
               139.32001                      -166.01937
                  139.58                      -177.94515
                  139.84                        169.9894
               140.10001                       158.01138
                  140.36                       146.35389
                  140.62                        135.2221
                  140.88                       124.76661
                  141.14                       115.07129
               141.39999                       106.15882
                  141.66                       98.008768
                  141.92                       90.578124
               142.17999                        83.81651
                  142.44                       77.673438
                   142.7                       72.097764
               142.96001                       67.033696
                  143.22                        62.41944
                  143.48                       58.191062
               143.74001                       54.289547
                     144                       50.668725
               144.25999                       47.297672
                  144.52                       44.157864
                  144.78                       41.234708
               145.03999                       38.510389
                   145.3                       35.960982
                  145.56                       33.559376
               145.82001                       31.281536
                  146.08                       29.112377
                  146.34                       27.045615
               146.60001                       25.080054
                  146.86                       23.212788
                  147.12                       21.434807
                  147.38                        19.73196
                  147.64                        18.08949
               147.89999                       16.497784
                  148.16                       14.954707
                  148.42                       13.463048
               148.67999                       12.025374
                  148.94                       10.639064
                   149.2                       9.2956484
               149.46001                       7.9844159
                  149.72                       6.6974446
                  149.98                       5.4331492
               150.24001                       4.1951915
                   150.5                       2.9881607
               150.75999                       1.8127667
                  151.02                      0.66381966
                  151.28                     -0.46725961
               151.53999                      -1.5878478
                   151.8                      -2.7000212
                  152.06                      -3.8003919
               152.32001                      -4.8837146
                  152.58                      -5.9473113
                  152.84                      -6.9940245
               153.10001                      -8.0310657
                  153.36                      -9.0655938
                  153.62                      -10.100723
                  153.88                      -11.133666
                  154.14                      -12.159068
               154.39999                      -13.172997
                  154.66                      -14.176488
                  154.92                      -15.175607
               155.17999                      -16.177405
                  155.44                      -17.185979
                   155.7                      -18.199741
               155.96001                      -19.213394
                  156.22                      -20.222024
                  156.48                      -21.225242
               156.74001                      -22.227694
                     157                      -23.236815
               157.25999                      -24.257409
                  157.52                      -25.289259
                  157.78                      -26.327448
               158.03999                      -27.366348
                   158.3                       -28.40399
                  158.56                      -29.443872
               158.82001                        -30.4931
                  159.08                       -31.55768
                  159.34                      -32.638814
               159.60001                      -33.732246
                  159.86                       -34.83169
                  160.12                      -35.933426
                  160.38                       -37.03948
                  160.64                      -38.156681
               160.89999                      -39.291966
                  161.16                      -40.448182
                  161.42                      -41.621883
               161.67999                      -42.806291
                  161.94                      -43.995621
                   162.2                      -45.190029
               162.46001                      -46.395255
                  162.72                      -47.619225
                  162.98                      -48.866471
               163.24001                      -50.134757
                   163.5                       -51.41659
               163.75999                      -52.703727
                  164.02                      -53.993212
                  164.28                      -55.288981
               164.53999                      -56.599286
                   164.8                      -57.930459
                  165.06                      -59.281856
               165.32001                       -60.64467
                  165.58                      -62.007047
                  165.84                      -63.360681
               166.10001                       -64.70557
                  166.36                      -66.048826
                  166.62                      -67.398085
                  166.88                      -68.753307
                  167.14                      -70.102896
               167.39999                      -71.426859
                  167.66                      -72.704761
                  167.92                       -73.92425
               168.17999                      -75.082813
                  168.44                      -76.180725
                   168.7                      -77.207167
               168.96001                      -78.127111
                  169.22                      -78.874935
                  169.48                      -79.355836
               169.74001                      -79.447141
                     170                      -78.982851
               170.25999                      -77.691892
                  170.52                      -75.038447
                  170.78                      -69.826136
               171.03999                      -59.189017
                   171.3                      -36.907576
                  171.56                      -1.4120114
               171.82001                        26.36626
                  172.08                        40.25892
                  172.34                       47.070691
               172.60001                       50.606766
                  172.86                       52.438456
                  173.12                       53.261906
                  173.38                       53.436813
                  173.64                       53.188244
               173.89999                       52.673632
                  174.16                        51.99974
                  174.42                       51.225413
               174.67999                       50.370984
                  174.94                       49.437872
                   175.2                        48.42968
               175.46001                       47.364499
                  175.72                       46.272162
                  175.98                       45.179331
               176.24001                       44.093879
