        Frequency / MHz                Port 1 [1] (13)/abs,linear
                  145.04                       333.97454
                   145.3                       328.21784
                  145.56                       322.83683
                  145.82                       317.86097
                  146.08                       313.31496
                  146.34                       309.21953
                   146.6                       305.59199
                  146.86                       302.44676
                  147.12                       299.79581
                  147.38                       297.64922
                  147.64                       296.01581
                   147.9                       294.90384
                  148.16                       294.32169
                  148.42                        294.2784
                  148.68                       294.78424
                  148.94                       295.85115
                   149.2                       297.49338
                  149.46                       299.72836
                  149.72                        302.5778
                  149.98                       306.06892
                  150.24                       310.23562
                   150.5                       315.11911
                  150.76                       320.76772
                  151.02                       327.23568
                  151.28                       334.58081
                  151.54                       342.86134
                   151.8                       352.13223
                  152.06                       362.44147
                  152.32                        373.8267
                  152.58                       386.31236
                  152.84                       399.90732
                   153.1                       414.60274
                  153.36                       430.36988
                  153.62                       447.15734
                  153.88                       464.88763
                  154.14                       483.45294
                   154.4                       502.71056
                  154.66                        522.4784
                  154.92                       542.53167
                  155.18                       562.60158
                  155.44                       582.37721
                   155.7                       601.51126
                  155.96                       619.63025
                  156.22                       636.34931
                  156.48                       651.29115
                  156.74                       664.10797
                     157                       674.50464
                  157.26                       682.26011
                  157.52                       687.24408
                  157.78                       689.42588
                  158.04                       688.87364
                   158.3                       685.74401
                  158.56                       680.26424
                  158.82                       672.71019
                  159.08                        663.3839
                  159.34                       652.59373
                   159.6                       640.63874
                  159.86                       627.79771
                  160.12                       614.32221
                  160.38                       600.43285
                  160.64                       586.31785
                   160.9                       572.13343
                  161.16                       558.00548
                  161.42                       544.03235
                  161.68                        530.2885
                  161.94                        516.8284
                   162.2                        503.6904
                  162.46                       490.90015
                  162.72                        478.4733
                  162.98                       466.41745
                  163.24                       454.73358
                   163.5                       443.41711
                  163.76                       432.45902
                  164.02                       421.84693
                  164.28                       411.56639
                  164.54                       401.60212
                   164.8                       391.93904
                  165.06                       382.56301
                  165.32                       373.46118
                  165.58                       364.62208
                  165.84                        356.0356
                   166.1                       347.69301
                  166.36                       339.58717
                  166.62                       331.71293
                  166.88                       324.06759
                  167.14                       316.65129
                   167.4                       309.46721
                  167.66                       302.52146
                  167.92                        295.8227
                  168.18                        289.3816
                  168.44                       283.21028
                   168.7                       277.32194
