        Frequency / MHz                Port 1 [1] (6)/abs,linear
                  214.98                       441.77376
                  215.24                       430.68481
                   215.5                       419.68342
                  215.76                       408.79674
                  216.02                       398.04619
                  216.28                       387.44821
                  216.54                       377.01497
                   216.8                       366.75498
                  217.06                       356.67371
                  217.32                       346.77407
                  217.58                       337.05689
                  217.84                       327.52137
                   218.1                       318.16543
                  218.36                       308.98611
                  218.62                       299.97982
                  218.88                       291.14264
                  219.14                       282.47055
                   219.4                       273.95956
                  219.66                       265.60588
                  219.92                       257.40598
                  220.18                       249.35671
                  220.44                        241.4553
                   220.7                       233.69946
                  220.96                        226.0874
                  221.22                       218.61791
                  221.48                       211.29044
                  221.74                       204.10521
                     222                       197.06333
                  222.26                       190.16694
                  222.52                        183.4194
                  222.78                       176.82544
                  223.04                       170.39142
                   223.3                       164.12551
                  223.56                       158.03801
                  223.82                       152.14157
                  224.08                       146.45153
                  224.34                       140.98624
                   224.6                       135.76736
                  224.86                       130.82015
                  225.12                       126.17372
                  225.38                        121.8611
                  225.64                       117.91914
                   225.9                       114.38807
                  226.16                       111.31071
                  226.42                       108.73112
                  226.68                       106.69277
                  226.94                       105.23627
                   227.2                       104.39678
                  227.46                       104.20148
                  227.72                       104.66742
                  227.98                       105.80021
                  228.24                       107.59357
                   228.5                       110.03009
                  228.76                       113.08267
                  229.02                       116.71663
                  229.28                       120.89183
                  229.54                       125.56475
                   229.8                       130.69017
                  230.06                       136.22234
                  230.32                       142.11579
                  230.58                       148.32561
                  230.84                       154.80757
                   231.1                       161.51786
                  231.36                       168.41275
                  231.62                       175.44819
                  231.88                       182.57922
                  232.14                       189.75955
                   232.4                       196.94102
                  232.66                        204.0732
                  232.92                         211.103
                  233.18                       217.97448
                  233.44                       224.62883
                   233.7                       231.00454
                  233.96                       237.03792
                  234.22                       242.66399
                  234.48                       247.81766
                  234.74                        252.4354
                     235                        256.4572
                  235.26                       259.82873
                  235.52                       262.50362
                  235.78                       264.44565
                  236.04                       265.63053
                   236.3                       266.04725
                  236.56                       265.69869
                  236.82                       264.60154
                  237.08                       262.78542
                  237.34                        260.2914
                   237.6                       257.16992
                  237.86                       253.47853
                  238.12                       249.27941
                  238.38                       244.63708
                  238.64                       239.61618
                   238.9                       234.27977
                  239.16                       228.68782
                  239.42                       222.89621
                  239.68                       216.95602
                  239.94                       210.91318
