        Frequency / MHz                Port 1 [1]/arg,degrees
                  209.26                       -24.16501
                  209.52                      -25.474809
                  209.78                      -27.640527
                  210.04                      -29.767746
                   210.3                      -30.823402
                  210.56                      -30.158419
                  210.82                      -27.724836
                  211.08                      -24.028437
                  211.34                      -19.959142
                   211.6                      -16.494883
                  211.86                      -14.321283
                  212.12                      -13.555929
                  212.38                      -13.747931
                  212.64                      -14.177004
                   212.9                      -14.279446
                  213.16                      -13.913947
                  213.42                      -13.328144
                  213.68                      -12.917149
                  213.94                      -12.948512
                   214.2                      -13.404797
                  214.46                      -14.025656
                  214.72                      -14.510244
                  214.98                      -14.725418
                  215.24                       -14.77313
                   215.5                        -14.8935
                  215.76                      -15.288376
                  216.02                      -15.983543
                  216.28                      -16.818335
                  216.54                       -17.56715
                   216.8                      -18.098768
                  217.06                      -18.454871
                  217.32                      -18.802252
                  217.58                      -19.304445
                  217.84                      -20.003096
                   218.1                      -20.789049
                  218.36                      -21.482097
                  218.62                      -21.957336
                  218.88                      -22.223219
                  219.14                      -22.401483
                   219.4                      -22.631865
                  219.66                      -22.969804
                  219.92                      -23.346606
                  220.18                      -23.618925
                  220.44                       -23.66925
                   220.7                      -23.482738
                  220.96                      -23.149154
                  221.22                      -22.794361
                  221.48                      -22.490292
                  221.74                      -22.204493
                     222                      -21.824037
                  222.26                      -21.235917
                  222.52                      -20.405444
                  222.78                      -19.398689
                  223.04                      -18.336334
                   223.3                      -17.311366
                  223.56                      -16.326525
                  223.82                      -15.295456
                  224.08                      -14.107735
                  224.34                      -12.711795
                   224.6                      -11.157385
                  224.86                      -9.5683472
                  225.12                      -8.0639249
                  225.38                      -6.6818443
                  225.64                      -5.3573036
                   225.9                      -3.9749248
                  226.16                      -2.4587433
                  226.42                     -0.83667586
                  226.68                      0.76700646
                  226.94                       2.2080944
                   227.2                       3.4174579
                  227.46                       4.4497084
                  227.72                         5.44812
                  227.98                       6.5440567
                  228.24                       7.7578001
                   228.5                       8.9710799
                  228.76                       9.9945972
                  229.02                       10.692248
                  229.28                       11.087365
                  229.54                       11.380585
                   229.8                       11.854122
                  230.06                        12.71095
                  230.32                        13.94994
                  230.58                        15.35537
                  230.84                       16.601805
                   231.1                       17.411348
                  231.36                       17.684293
                  231.62                       17.543667
                  231.88                       17.268989
                  232.14                        17.14842
                   232.4                       17.335871
                  232.66                       17.799887
                  232.92                       18.380859
                  233.18                       18.902813
                  233.44                       19.268459
                   233.7                       19.491092
                  233.96                       19.657455
                  234.22                       19.854155
                  234.48                       20.108652
                  234.74                       20.379959
                     235                       20.596084
                  235.26                       20.705582
                  235.52                       20.707508
                  235.78                       20.643113
                  236.04                       20.559605
                   236.3                       20.474423
                  236.56                       20.365322
                  236.82                       20.190336
                  237.08                       19.920098
                  237.34                       19.558203
                   237.6                       19.135807
                  237.86                       18.686094
                  238.12                       18.218939
                  238.38                       17.714964
                  238.64                       17.142343
                   238.9                       16.482517
                  239.16                       15.744978
                  239.42                       14.960059
                  239.68                       14.155613
                  239.94                       13.336054
                   240.2                       12.480197
                  240.46                       11.559307
                  240.72                       10.561179
                  240.98                       9.5015583
                  241.24                       8.4137528
                   241.5                       7.3242995
                  241.76                       6.2338459
                  242.02                       5.1184112
                  242.28                       3.9500889
                  242.54                       2.7212489
                   242.8                       1.4534437
                  243.06                      0.18361795
                  243.32                      -1.0620118
                  243.58                      -2.2859227
                  243.84                       -3.515006
                   244.1                      -4.7773809
                  244.36                      -6.0780196
                  244.62                      -7.3919426
                  244.88                      -8.6806249
                  245.14                      -9.9191485
                   245.4                      -11.112993
                  245.66                      -12.291655
                  245.92                      -13.484232
                  246.18                      -14.695435
                  246.44                      -15.900161
                   246.7                      -17.060892
                  246.96                      -18.154662
                  247.22                       -19.18891
                  247.48                      -20.194533
                  247.74                       -21.20179
                     248                      -22.217057
                  248.26                      -23.217594
                  248.52                        -24.1682
                  248.78                      -25.047121
                  249.04                      -25.861635
                   249.3                      -26.642115
                  249.56                      -27.419462
                  249.82                      -28.202535
                  250.08                      -28.971964
                  250.34                      -29.694786
                   250.6                      -30.348911
                  250.86                      -30.939207
                  251.12                      -31.493773
                  251.38                      -32.043651
                  251.64                      -32.600787
                   251.9                      -33.150036
                  252.16                      -33.660927
                  252.42                      -34.110405
                  252.68                       -34.49983
                  252.94                      -34.854131
                   253.2                      -35.204225
                  253.46                      -35.565442
                  253.72                      -35.927297
                  253.98                      -36.261893
                  254.24                      -36.544783
                   254.5                      -36.773026
                  254.76                      -36.967612
                  255.02                      -37.158914
                  255.28                      -37.365702
                  255.54                      -37.582566
                   255.8                      -37.784704
                  256.06                      -37.946593
                  256.32                      -38.060951
                  256.58                      -38.144449
                  256.84                      -38.226381
                   257.1                      -38.328471
                  257.36                      -38.450077
                  257.62                      -38.569288
                  257.88                      -38.659173
                  258.14                      -38.707403
                   258.4                      -38.725192
                  258.66                      -38.739401
                  258.92                      -38.773573
                  259.18                      -38.831294
                  259.44                      -38.893717
                   259.7                      -38.933126
                  259.96                      -38.932793
                  260.22                      -38.898921
                  260.48                      -38.856351
                  260.74                      -38.831245
                     261                      -38.832955
                  261.26                      -38.847888
                  261.52                       -38.84979
                  261.78                      -38.819073
