        Frequency / MHz                S1,1/arg,degrees
                     144                      -36.582207
               144.25999                      -41.179522
                  144.52                      -45.757936
                  144.78                      -50.311871
               145.03999                      -54.835531
                   145.3                      -59.323345
                  145.56                      -63.769529
               145.81999                      -68.168715
                  146.08                      -72.515666
                  146.34                      -76.805682
               146.60001                      -81.034935
                  146.86                      -85.200039
                  147.12                       -89.29848
                  147.38                       -93.32851
                  147.64                      -97.289255
               147.89999                      -101.18126
                  148.16                      -105.00507
                  148.42                      -108.76277
               148.67999                      -112.45665
                  148.94                      -116.08976
                   149.2                       -119.6655
               149.46001                      -123.18769
                  149.72                      -126.66027
                  149.98                      -130.08728
               150.24001                      -133.47265
                   150.5                      -136.82053
               150.75999                       -140.1353
                  151.02                      -143.42079
                  151.28                      -146.68147
               151.53999                      -149.92225
                   151.8                      -153.14785
                  152.06                       -156.3634
               152.31999                      -159.57479
                  152.58                      -162.78837
                  152.84                      -166.01025
               153.10001                      -169.24732
                  153.36                       -172.5069
                  153.62                      -175.79611
                  153.88                      -179.12268
                  154.14                       177.50572
               154.39999                        174.0809
                  154.66                       170.59455
                  154.92                        167.0375
               155.17999                       163.40001
                  155.44                       159.67171
                   155.7                       155.84134
               155.96001                       151.89645
                  156.22                       147.82423
                  156.48                       143.61159
               156.74001                       139.24497
                     157                       134.71213
               157.25999                       130.00203
                  157.52                       125.10659
                  157.78                        120.0211
               158.03999                       114.74666
                   158.3                        109.2906
                  158.56                       103.66744
               158.81999                        97.90003
                  159.08                         92.0194
                  159.34                       86.063257
               159.60001                       80.074874
                  159.86                       74.099933
                  160.12                       68.184009
                  160.38                       62.369168
                  160.64                       56.691692
               160.89999                        51.18077
                  161.16                       45.857377
                  161.42                       40.735063
               161.67999                       35.819948
                  161.94                       31.112691
                   162.2                       26.609357
               162.46001                       22.302622
                  162.72                       18.182761
                  162.98                       14.238517
               163.24001                       10.457543
                   163.5                       6.8265054
               163.75999                       3.3321807
                  164.02                    -0.039419298
                  164.28                      -3.3019549
               164.53999                      -6.4688679
                   164.8                      -9.5529444
                  165.06                      -12.566533
               165.31999                      -15.520671
                  165.58                      -18.425305
                  165.84                      -21.289502
               166.10001                      -24.121356
                  166.36                      -26.927635
                  166.62                      -29.715009
                  166.88                      -32.489264
                  167.14                       -35.25653
               167.39999                      -38.022264
                  167.66                      -40.793026
                  167.92                      -43.574498
               168.17999                      -46.373675
                  168.44                      -49.196672
                   168.7                      -52.049617
               168.96001                      -54.939059
                  169.22                       -57.87025
                  169.48                       -60.84865
               169.74001                       -63.87885
                     170                      -66.965439
               170.25999                      -70.112571
                  170.52                      -73.325273
                  170.78                      -76.607697
               171.03999                      -79.964871
                   171.3                      -83.402479
                  171.56                      -86.925983
               171.81999                      -90.541721
                  172.08                      -94.255158
                  172.34                      -98.072414
               172.60001                      -101.99786
                  172.86                      -106.03543
                  173.12                      -110.18731
                  173.38                      -114.45394
                  173.64                      -118.83444
               173.89999                      -123.32553
                  174.16                       -127.9222
                  174.42                      -132.61766
               174.67999                      -137.40425
                  174.94                      -142.27259
                   175.2                      -147.21218
               175.46001                      -152.21232
                  175.72                      -157.26229
                  175.98                      -162.35072
               176.24001                      -167.46779
                   176.5                      -172.60409
               176.75999                      -177.75132
                  177.02                       177.09642
                  177.28                       171.94285
               177.53999                       166.78928
                   177.8                       161.63396
                  178.06                       156.47187
               178.31999                       151.29426
                  178.58                       146.08867
                  178.84                       140.83959
               179.10001                       135.52799
                  179.36                       130.13313
                  179.62                       124.63095
                  179.88                       118.99828
                  180.14                       113.21262
               180.39999                       107.25364
                  180.66                       101.10668
                  180.92                       94.764334
               181.17999                       88.228772
                  181.44                       81.515297
                   181.7                       74.652979
               181.96001                        67.68553
                  182.22                       60.668686
                  182.48                       53.667795
               182.74001                       46.751275
                     183                       39.984903
               183.25999                       33.426175
                  183.52                       27.120544
                  183.78                       21.100142
               184.03999                       15.382018
                   184.3                       9.9733824
                  184.56                       4.8709581
               184.81999                     0.064908651
                  185.08                      -4.4576604
                  185.34                      -8.7133594
               185.60001                       -12.71902
                  185.86                      -16.491907
                  186.12                      -20.049068
                  186.38                      -23.407118
                  186.64                      -26.582444
               186.89999                      -29.590132
                  187.16                      -32.443948
                  187.42                      -35.157447
               187.67999                      -37.742866
                  187.94                      -40.210697
                   188.2                      -42.569898
               188.46001                      -44.828339
                  188.72                      -46.992365
                  188.98                      -49.067208
               189.24001                      -51.057693
                   189.5                      -52.967304
               189.75999                      -54.800635
                  190.02                      -56.561185
                  190.28                      -58.253978
               190.53999                      -59.883824
                   190.8                      -61.455971
                  191.06                      -62.976754
               191.31999                      -64.451637
                  191.58                      -65.886741
                  191.84                       -67.28775
               192.10001                      -68.660345
                  192.36                      -70.009336
                  192.62                      -71.339746
                  192.88                      -72.656169
                  193.14                      -73.963632
               193.39999                      -75.266941
                  193.66                      -76.571343
                  193.92                      -77.882084
               194.17999                      -79.205065
                  194.44                      -80.546186
                   194.7                      -81.911131
               194.96001                      -83.304927
                  195.22                      -84.732601
                  195.48                      -86.198304
               195.74001                      -87.705099
                     196                      -89.256262
               196.25999                      -90.854198
                  196.52                      -92.500656
                  196.78                      -94.197603
               197.03999                      -95.946787
                   197.3                      -97.750832
                  197.56                       -99.61214
               197.81999                      -101.53312
                  198.08                      -103.51748
                  198.34                      -105.56828
               198.60001                      -107.68947
                  198.86                      -109.88387
                  199.12                      -112.15499
                  199.38                      -114.50632
                  199.64                      -116.94115
               199.89999                      -119.46296
                  200.16                      -122.07527
                  200.42                      -124.78177
               200.67999                      -127.58707
                  200.94                       -130.4964
                   201.2                      -133.51479
               201.46001                      -136.64925
                  201.72                      -139.90567
                  201.98                      -143.29191
               202.24001                      -146.81497
                   202.5                      -150.48252
               202.75999                      -154.30152
                  203.02                      -158.28008
                  203.28                      -162.42496
               203.53999                      -166.74361
                   203.8                      -171.24345
                  204.06                      -175.93191
               204.31999                       179.18183
                  204.58                       174.08793
                  204.84                       168.77437
               205.10001                       163.22672
                  205.36                       157.42773
                  205.62                       151.35662
                  205.88                       144.98936
                  206.14                       138.29839
               206.39999                       131.25466
                  206.66                       123.83041
                  206.92                       116.00269
               207.17999                       107.76165
                  207.44                       99.119116
                   207.7                       90.117473
               207.96001                       80.837813
                  208.22                       71.400349
                  208.48                       61.956111
               208.74001                        52.66596
                     209                       43.681585
               209.25999                       35.122322
                  209.52                       27.066631
                  209.78                       19.551892
               210.03999                       12.582259
                   210.3                       6.1365266
                  210.56                      0.18016489
               210.81999                      -5.3287924
                  211.08                       -10.43384
                  211.34                      -15.176504
               211.60001                      -19.595256
                  211.86                      -23.724623
                  212.12                      -27.594991
                  212.38                      -31.232586
                  212.64                      -34.661228
               212.89999                      -37.900378
                  213.16                      -40.967735
                  213.42                      -43.878597
               213.67999                      -46.646737
                  213.94                      -49.283737
                   214.2                       -51.79987
               214.46001                       -54.20366
                  214.72                      -56.502973
                  214.98                      -58.704153
               215.24001                      -60.812222
                   215.5                       -62.83221
               215.75999                      -64.767393
                  216.02                      -66.621269
                  216.28                      -68.397121
               216.53999                      -70.098002
                   216.8                      -71.726536
                  217.06                      -73.286223
               217.31999                       -74.78056
                  217.58                      -76.213042
                  217.84                      -77.588041
               218.10001                       -78.90971
                  218.36                      -80.182202
