        Frequency / MHz                S1,1/abs,dB
               186.89999                      -21.054575
                  187.16                      -20.889226
                  187.42                      -20.730303
               187.67999                      -20.577901
                  187.94                      -20.432062
                   188.2                      -20.292776
               188.46001                      -20.159968
                  188.72                      -20.033476
                  188.98                      -19.913029
               189.24001                      -19.798234
                   189.5                      -19.688575
               189.75999                      -19.583428
                  190.02                      -19.482088
                  190.28                      -19.383809
               190.53999                       -19.28785
                   190.8                       -19.19351
                  191.06                      -19.100169
               191.31999                      -19.007299
                  191.58                      -18.914474
                  191.84                      -18.821357
               192.10001                      -18.727677
                  192.36                       -18.63321
                  192.62                      -18.537752
                  192.88                      -18.441106
                  193.14                      -18.343082
               193.39999                      -18.243505
                  193.66                      -18.142237
                  193.92                        -18.0392
               194.17999                      -17.934409
                  194.44                      -17.827986
                   194.7                      -17.720168
               194.96001                      -17.611308
                  195.22                      -17.501843
                  195.48                      -17.392284
               195.74001                      -17.283167
                     196                      -17.175021
               196.25999                      -17.068353
                  196.52                      -16.963617
                  196.78                      -16.861215
               197.03999                      -16.761508
                   197.3                      -16.664828
                  197.56                      -16.571501
               197.81999                      -16.481877
                  198.08                      -16.396343
                  198.34                      -16.315343
               198.60001                      -16.239378
                  198.86                      -16.169009
                  199.12                      -16.104846
                  199.38                      -16.047531
                  199.64                      -15.997731
               199.89999                      -15.956124
                  200.16                      -15.923401
                  200.42                       -15.90027
               200.67999                      -15.887476
                  200.94                      -15.885812
                   201.2                      -15.896164
               201.46001                      -15.919525
                  201.72                      -15.957024
                  201.98                      -16.009947
               202.24001                      -16.079739
                   202.5                      -16.168001
               202.75999                      -16.276474
                  203.02                      -16.407001
                  203.28                      -16.561492
               203.53999                      -16.741862
                   203.8                      -16.949978
                  204.06                       -17.18758
               204.31999                      -17.456205
                  204.58                      -17.757089
                  204.84                      -18.091056
               205.10001                       -18.45838
                  205.36                      -18.858607
                  205.62                      -19.290333
                  205.88                      -19.750917
                  206.14                      -20.236131
               206.39999                      -20.739738
                  206.66                      -21.253053
                  206.92                      -21.764554
               207.17999                      -22.259708
                  207.44                      -22.721278
                   207.7                      -23.130375
               207.96001                      -23.468424
                  208.22                      -23.719897
                  208.48                      -23.875121
               208.74001                      -23.932167
                     209                      -23.897002
               209.25999                      -23.781876
                  209.52                      -23.602637
                  209.78                      -23.376001
               210.03999                      -23.117515
                   210.3                      -22.840412
                  210.56                       -22.55525
               210.81999                      -22.270028
                  211.08                      -21.990556
                  211.34                      -21.720864
               211.60001                      -21.463621
                  211.86                      -21.220457
                  212.12                      -20.992248
                  212.38                      -20.779314
                  212.64                      -20.581591
               212.89999                      -20.398751
