        Frequency / MHz                S1,1/arg,degrees
               131.25999                      -57.395667
                  131.52                      -62.139752
                  131.78                      -67.406212
               132.03999                      -73.186736
                   132.3                      -79.489963
                  132.56                      -86.351298
               132.82001                      -93.843961
                  133.08                      -102.09592
                  133.34                       -111.3099
               133.60001                      -121.78938
                  133.86                      -133.94995
                  134.12                      -148.26352
                  134.38                      -165.01158
                  134.64                       176.23436
               134.89999                       156.96831
                  135.16                       139.09146
                  135.42                       123.73217
               135.67999                       110.98824
                  135.94                       100.43849
                   136.2                       91.578808
               136.46001                       83.988119
                  136.72                       77.351141
                  136.98                       71.440459
               137.24001                       66.092258
                   137.5                        61.18982
               137.75999                       56.649659
                  138.02                       52.413738
                  138.28                       48.442393
               138.53999                       44.710486
                   138.8                        41.20316
                  139.06                       37.912317
               139.32001                       34.834691
                  139.58                       31.967538
                  139.84                       29.307157
               140.10001                        26.84621
                  140.36                       24.572357
                  140.62                       22.467458
                  140.88                       20.507031
                  141.14                       18.663097
               141.39999                       16.904404
                  141.66                        15.20101
                  141.92                       13.526685
               142.17999                       11.860994
                  142.44                       10.191367
                   142.7                       8.5140918
               142.96001                       6.8328809
                  143.22                       5.1586649
                  143.48                       3.5069613
               143.74001                       1.8952555
                     144                      0.34136011
               144.25999                      -1.1399714
                  144.52                      -2.5383568
                  144.78                      -3.8498627
               145.03999                      -5.0776572
                   145.3                      -6.2317952
                  145.56                      -7.3279046
               145.82001                      -8.3847806
                  146.08                      -9.4217671
                  146.34                       -10.45471
               146.60001                      -11.494429
                  146.86                       -12.54289
                  147.12                      -13.593537
                  147.38                      -14.630086
                  147.64                      -15.627949
               147.89999                       -16.55478
                  148.16                      -17.373746
                  148.42                      -18.045072
               148.67999                      -18.528648
                  148.94                      -18.788089
                   149.2                      -18.793443
               149.46001                      -18.524497
                  149.72                       -17.97393
                  149.98                      -17.148297
               150.24001                      -16.069781
                   150.5                      -14.773247
               150.75999                      -13.302626
                  151.02                      -11.707969
                  151.28                      -10.040308
               151.53999                      -8.3481703
                   151.8                      -6.6775608
                  152.06                      -5.0715375
               152.32001                      -3.5704257
                  152.58                      -2.2132399
                  152.84                      -1.0369174
               153.10001                    -0.074243251
                  153.36                      0.64811751
                  153.62                       1.1115869
                  153.88                        1.308515
                  154.14                       1.2413058
               154.39999                      0.92329223
                  154.66                      0.37600281
                  154.92                     -0.37280447
               155.17999                      -1.2908912
                  155.44                      -2.3447073
                   155.7                      -3.5012495
               155.96001                      -4.7301375
                  156.22                      -6.0049235
                  156.48                      -7.3048455
               156.74001                      -8.6154764
                     157                      -9.9287311
               157.25999                      -11.243297
                  157.52                      -12.562889
                  157.78                      -13.895924
               158.03999                      -15.252672
                   158.3                        -16.6445
                  158.56                      -18.081135
               158.82001                       -19.56979
                  159.08                      -21.114396
                  159.34                      -22.714517
               159.60001                      -24.366766
                  159.86                      -26.064809
                  160.12                      -27.800988
                  160.38                      -29.567548
                  160.64                      -31.357493
               160.89999                      -33.167108
                  161.16                      -34.995526
                  161.42                      -36.845686
               161.67999                      -38.725355
                  161.94                      -40.645239
                   162.2                       -42.61955
               162.46001                      -44.663468
                  162.72                      -46.792847
                  162.98                      -49.022874
               163.24001                       -51.36623
