        Frequency / MHz                Port 1 [1]/arg,degrees
                  142.96                       20.095141
                  143.22                       15.490014
                  143.48                       10.641168
                  143.74                       5.7474836
                     144                       1.0234733
                  144.26                      -3.3496178
                  144.52                      -7.2580851
                  144.78                      -10.664184
                  145.04                      -13.592879
                   145.3                      -16.108528
                  145.56                      -18.291329
                  145.82                      -20.218369
                  146.08                      -21.950498
                  146.34                      -23.524856
                   146.6                      -24.952599
                  146.86                      -26.221339
                  147.12                      -27.301352
                  147.38                      -28.154026
                  147.64                      -28.740624
                   147.9                      -29.029579
                  148.16                      -29.001293
                  148.42                      -28.650237
                  148.68                       -27.98486
                  148.94                      -27.026022
                   149.2                      -25.804626
                  149.46                      -24.358857
                  149.72                      -22.731279
                  149.98                      -20.965912
                  150.24                      -19.105454
                   150.5                      -17.188861
                  150.76                      -15.249568
                  151.02                      -13.314618
                  151.28                       -11.40488
                  151.54                      -9.5363552
                   151.8                      -7.7224052
                  152.06                      -5.9765432
                  152.32                      -4.3153453
                  152.58                      -2.7610275
                  152.84                      -1.3433149
                   153.1                     -0.10036793
                  153.36                      0.92131779
                  153.62                       1.6680166
                  153.88                       2.0808336
                  154.14                       2.0987459
                   154.4                       1.6627775
                  154.66                      0.72156289
                  154.92                     -0.76155537
                  155.18                      -2.8002607
                  155.44                      -5.3772221
                   155.7                      -8.4389611
                  155.96                      -11.896971
                  156.22                      -15.637275
                  156.48                      -19.537246
                  156.74                      -23.484628
                     157                      -27.392071
                  157.26                      -31.202695
                  157.52                      -34.886388
                  157.78                      -38.430118
                  158.04                      -41.826736
                   158.3                      -45.066073
                  158.56                      -48.130497
                  158.82                      -50.995295
                  159.08                      -53.632744
                  159.34                      -56.017817
                   159.6                      -58.133392
                  159.86                      -59.973534
                  160.12                      -61.544346
                  160.38                      -62.862744
                  160.64                      -63.953876
                   160.9                      -64.847926
                  161.16                      -65.576858
                  161.42                      -66.171435
                  161.68                      -66.658695
                  161.94                      -67.060023
                   162.2                      -67.389904
                  162.46                      -67.655443
                  162.72                      -67.856661
                  162.98                      -67.987482
                  163.24                      -68.037224
                   163.5                      -67.992317
                  163.76                      -67.837961
                  164.02                      -67.559466
                  164.28                      -67.143117
                  164.54                      -66.576502
                   164.8                      -65.848316
                  165.06                      -64.947708
                  165.32                      -63.863238
                  165.58                      -62.581524
                  165.84                      -61.085619
                   166.1                       -59.35317
                  166.36                      -57.354403
                  166.62                      -55.050043
                  166.88                      -52.389335
                  167.14                      -49.308557
                   167.4                      -45.730774
                  167.66                      -41.568245
                  167.92                      -36.729884
                  168.18                      -31.137141
                  168.44                      -24.751417
                   168.7                       -17.61183
                  168.96                       -9.871487
                  169.22                       -1.807383
                  169.48                       6.2193552
                  169.74                       13.846361
                     170                       20.793175
                  170.26                       26.901604
                  170.52                       32.126531
                  170.78                       36.500357
                  171.04                       40.095968
                   171.3                       43.000153
                  171.56                       45.298629
                  171.82                       47.069465
                  172.08                       48.381438
                  172.34                       49.294743
                   172.6                        49.86249
                  172.86                       50.132069
                  173.12                       50.145882
                  173.38                       49.941287
                  173.64                       49.549784
                   173.9                       48.995749
                  174.16                       48.295133
                  174.42                       47.454608
                  174.68                        46.47157
                  174.94                       45.335231
                   175.2                       44.028869
                  175.46                       42.533098
                  175.72                       40.829905
                  175.98                       38.907022
                  176.24                       36.762058
                   176.5                       34.405604
                  176.76                        31.86245
                  177.02                       29.170227
                  177.28                        26.37532
                  177.54                       23.526807
                   177.8                       20.669929
                  178.06                       17.840936
                  178.32                       15.064739
                  178.58                       12.355841
                  178.84                       9.7220174
                   179.1                       7.1694763
                  179.36                       4.7079625
                  179.62                       2.3543929
                  179.88                       0.1340859
                  180.14                      -1.9206852
                   180.4                      -3.7743404
                  180.66                      -5.3927875
                  180.92                      -6.7480893
                  181.18                      -7.8219348
                  181.44                      -8.6073434
                   181.7                      -9.1085717
                  181.96                       -9.339575
                  182.22                      -9.3215391
                  182.48                      -9.0799874
                  182.74                      -8.6418755
                     183                      -8.0329908
                  183.26                      -7.2758974
                  183.52                      -6.3886053
                  183.78                      -5.3840789
                  184.04                      -4.2706157
                   184.3                      -3.0530211
                  184.56                      -1.7343962
                  184.82                     -0.31826463
                  185.08                       1.1892938
                  185.34                       2.7778334
                   185.6                       4.4313368
                  185.86                        6.127795
                  186.12                       7.8396327
                  186.38                       9.5349103
                  186.64                       11.179122
                   186.9                       12.737339
                  187.16                       14.176423
                  187.42                        15.46705
                  187.68                       16.585344
                  187.94                       17.513946
                   188.2                       18.242437
                  188.46                       18.767005
                  188.72                       19.089346
                  188.98                       19.214787
                  189.24                       19.149758
                   189.5                       18.898817
                  189.76                       18.461582
                  190.02                       17.829966
                  190.28                       16.986159
                  190.54                       15.901742
                   190.8                       14.538265
                  191.06                       12.849601
                  191.32                       10.786364
                  191.58                        8.302661
                  191.84                       5.3651114
                   192.1                       1.9633966
                  192.36                      -1.8797622
                  192.62                      -6.1027075
                  192.88                      -10.606972
                  193.14                      -15.269358
                   193.4                      -19.961531
                  193.66                      -24.570473
                  193.92                      -29.012519
                  194.18                       -33.23716
                  194.44                       -37.22173
                   194.7                      -40.961172
                  194.96                      -44.457409
                  195.22                      -47.711455
                  195.48                       -50.71958
                  195.74                      -53.473317
                     196                      -55.962137
                  196.26                      -58.177184
                  196.52                      -60.114655
                  196.78                      -61.777888
                  197.04                      -63.177883
                   197.3                      -64.332449
                  197.56                      -65.264436
                  197.82                      -65.999503
                  198.08                      -66.563815
                  198.34                        -66.9819
                   198.6                      -67.274835
                  198.86                       -67.45885
                  199.12                      -67.544445
                  199.38                      -67.536046
                  199.64                      -67.432222
                   199.9                      -67.226411
                  200.16                      -66.908019
                  200.42                      -66.463741
                  200.68                       -65.87892
                  200.94                      -65.138774
                   201.2                      -64.229413
                  201.46                      -63.138593
                  201.72                       -61.85625
                  201.98                      -60.374871
                  202.24                      -58.689783
                   202.5                      -56.799437
                  202.76                       -54.70572
                  203.02                      -52.414305
                  203.28                      -49.935033
                  203.54                      -47.282263
                   203.8                      -44.475128
                  204.06                      -41.537637
                  204.32                      -38.498557
                  204.58                      -35.391038
                  204.84                       -32.25198
                   205.1                      -29.121152
                  205.36                      -26.040099
                  205.62                      -23.050884
                  205.88                      -20.194738
                  206.14                      -17.510665
                   206.4                      -15.034078
                  206.66                      -12.795538
                  206.92                       -10.81964
                  207.18                      -9.1241073
                  207.44                      -7.7191153
                   207.7                      -6.6069036
                  207.96                      -5.7817161
                  208.22                      -5.2301501
                  208.48                      -4.9319945
                  208.74                      -4.8616125
                     209                      -4.9898594
                  209.26                      -5.2864084
                  209.52                      -5.7222386
                  209.78                      -6.2719342
                  210.04                      -6.9154201
                   210.3                      -7.6388195
                  210.56                      -8.4342573
                  210.82                      -9.2986195
                  211.08                      -10.231465
                  211.34                      -11.232442
                   211.6                      -12.298656
                  211.86                       -13.42248
                  212.12                      -14.590247
                  212.38                      -15.782122
                  212.64                      -16.973233
                   212.9                      -18.135896
                  213.16                      -19.242479
                  213.42                      -20.268371
                  213.68                      -21.194452
                  213.94                      -22.008667
                   214.2                      -22.706476
                  214.46                      -23.290209
                  214.72                      -23.767508
                  214.98                      -24.149163
                  215.24                      -24.446687
                   215.5                      -24.669977
                  215.76                      -24.825393
                  216.02                      -24.914518
                  216.28                      -24.933755
                  216.54                      -24.874818
                   216.8                      -24.726004
                  217.06                      -24.474032
                  217.32                       -24.10613
                  217.58                      -23.612039
                  217.84                      -22.985632
                   218.1                      -22.225902
                  218.36                       -21.33717
                  218.62                       -20.32846
                  218.88                      -19.212067
                  219.14                      -18.001454
                   219.4                      -16.708702
                  219.66                      -15.341861
                  219.92                      -13.902559
                  220.18                      -12.384311
                  220.44                      -10.771848
                   220.7                      -9.0417139
                  220.96                      -7.1642042
                  221.22                      -5.1065442
                  221.48                      -2.8370672
                  221.74                     -0.33000665
                     222                       2.4295961
                  222.26                       5.4414997
                  222.52                       8.6871329
                  222.78                       12.128504
                  223.04                       15.709741
                   223.3                       19.361379
                  223.56                       23.006773
                  223.82                       26.569399
                  224.08                       29.979488
                  224.34                       33.178761
                   224.6                       36.122693
                  224.86                       38.780483
                  225.12                       41.133374
                  225.38                       43.172134
                  225.64                       44.894356
                   225.9                       46.302013
                  226.16                       47.399499
                  226.42                       48.192199
                  226.68                       48.685567
                  226.94                       48.884666
                   227.2                       48.794106
                  227.46                       48.418362
                  227.72                       47.762446
                  227.98                       46.832915
                  228.24                       45.639135
                   228.5                       44.194687
                  228.76                       42.518648
                  229.02                       40.636429
                  229.28                       38.579788
                  229.54                       36.385695
                   229.8                       34.094005
                  230.06                        31.74415
                  230.32                       29.371491
                  230.58                       27.004072
