        Frequency / MHz                Port 1 [1]/abs,linear
                  210.82                       221.04704
                  211.08                       224.04379
                  211.34                       226.61463
                   211.6                       228.70257
                  211.86                       230.23974
                  212.12                       231.15818
                  212.38                       231.40278
                  212.64                       230.94366
                   212.9                       229.78504
                  213.16                       227.96821
                  213.42                        225.5679
                  213.68                       222.68305
                  213.94                       219.42421
                   214.2                       215.90024
                  214.46                       212.20694
                  214.72                       208.41906
                  214.98                       204.58647
                  215.24                        200.7344
                   215.5                       196.86718
                  215.76                       192.97459
                  216.02                       189.03963
                  216.28                       185.04642
                  216.54                       180.98714
                   216.8                       176.86671
                  217.06                       172.70476
                  217.32                       168.53458
                  217.58                       164.39963
                  217.84                        160.3482
                   218.1                        156.4275
                  218.36                       152.67778
                  218.62                       149.12757
                  218.88                       145.79052
                  219.14                       142.66415
                   219.4                       139.73083
                  219.66                       136.96097
                  219.92                       134.31814
                  220.18                       131.76588
                  220.44                       129.27511
                   220.7                        126.8315
                  220.96                        124.4414
                  221.22                       122.13567
                  221.48                        119.9707
                  221.74                       118.02649
                     222                        116.4021
                  222.26                       115.20915
                  222.52                        114.5641
                  222.78                       114.58035
                  223.04                       115.36089
                   223.3                       116.99263
                  223.56                       119.54296
                  223.82                       123.05905
                  224.08                       127.56961
                  224.34                       133.08848
                   224.6                        139.6192
                  224.86                        147.1595
                  225.12                       155.70504
                  225.38                       165.25198
                  225.64                        175.7982
                   225.9                       187.34321
                  226.16                       199.88682
                  226.42                       213.42656
                  226.68                       227.95399
                  226.94                        243.4497
                   227.2                       259.87711
                  227.46                       277.17508
                  227.72                       295.24978
                  227.98                       313.96676
                  228.24                       333.14468
                   228.5                        352.5531
                  228.76                       371.91695
                  229.02                       390.93001
                  229.28                       409.27801
                  229.54                       426.66917
                   229.8                       442.86657
                  230.06                       457.71446
                  230.32                       471.15075
                  230.58                       483.20145
                  230.84                       493.95781
                   231.1                       503.54205
                  231.36                       512.07001
                  231.62                        519.6193
                  231.88                       526.20966
                  232.14                       531.79915
                   232.4                       536.29708
                  232.66                       539.59106
                  232.92                       541.58262
                  233.18                       542.22289
                  233.44                       541.53926
                   233.7                       539.64561
                  233.96                       536.73329
                  234.22                       533.04565
                  234.48                        528.8428
                  234.74                       524.36531
                     235                       519.80384
                  235.26                       515.27949
                  235.52                       510.83667
                  235.78                       506.44832
                  236.04                       502.03204
                   236.3                       497.47448
                  236.56                       492.66038
                  236.82                       487.50138
                  237.08                       481.95942
                  237.34                       476.06004
                   237.6                       469.89306
                  237.86                       463.60108
                  238.12                       457.35901
                  238.38                       451.34939
                  238.64                        445.7383
                   238.9                       440.65566
                  239.16                       436.18163
                  239.42                       432.34018
                  239.68                       429.09941
                  239.94                       426.37832
                   240.2                       424.05918
                  240.46                       422.00444
                  240.72                       420.07631
                  240.98                       418.15652
                  241.24                       416.16295
                   241.5                       414.06006
                  241.76                       411.86102
                  242.02                       409.62114
                  242.28                         407.424
                  242.54                       405.36313
                   242.8                        403.5227
                  243.06                       401.96013
                  243.32                       400.69329
                  243.58                        399.6937
                  243.84                       398.88683
                   244.1                       398.15978
                  244.36                       397.37585
                  244.62                       396.39442
                  244.88                       395.09337
                  245.14                       393.38986
                   245.4                       391.25531
                  245.66                       388.72129
                  245.92                       385.87501
                  246.18                       382.84588
                  246.44                       379.78627
                   246.7                       376.85075
                  246.96                       374.17722
                  247.22                       371.87255
                  247.48                       370.00389
                  247.74                       368.59577
                     248                       367.63279
                  248.26                       367.06692
                  248.52                       366.82843
                  248.78                       366.83883
                  249.04                       367.02379
                   249.3                       367.32369
                  249.56                       367.69958
                  249.82                       368.13298
                  250.08                        368.6189
                  250.34                       369.15311
                   250.6                       369.71567
                  250.86                       370.25361
                  251.12                       370.66673
                  251.38                       370.80011
                  251.64                       370.44735
                   251.9                        369.3672
                  252.16                       367.31375
                  252.42                       364.07608
                  252.68                        359.5192
                  252.94                       353.61469
                   253.2                       346.45177
                  253.46                       338.22491
                  253.72                        329.2023
                  253.98                         319.685
                  254.24                        309.9676
                   254.5                       300.30801
                  254.76                       290.90936
                  255.02                       281.91301
                  255.28                       273.40012
                  255.54                       265.39847
                   255.8                       257.89241
                  256.06                       250.83434
                  256.32                       244.15665
                  256.58                       237.78353
                  256.84                       231.64186
                   257.1                       225.67012
                  257.36                       219.82472
                  257.62                       214.08285
                  257.88                       208.44199
                  258.14                       202.91647
                   258.4                       197.53187
                  258.66                       192.31862
                  258.92                        187.3057
                  259.18                       182.51526
                  259.44                       177.95885
                   259.7                       173.63539
                  259.96                         169.531
                  260.22                       165.62071
                  260.48                       161.87163
                  260.74                       158.24739
                     261                       154.71313
                  261.26                       151.24032
                  261.52                       147.81079
                  261.78                       144.41919
                  262.04                       141.07356
                   262.3                       137.79418
                  262.56                       134.61064
                  262.82                       131.55799
                  263.08                       128.67233
                  263.34                       125.98644
                   263.6                       123.52595
                  263.86                       121.30638
                  264.12                        119.3313
                  264.38                         117.592
                  264.64                       116.06856
                   264.9                       114.73249
                  265.16                       113.55056
                  265.42                       112.48942
                  265.68                       111.52026
                  265.94                       110.62281
                   266.2                       109.78792
                  266.46                       109.01826
                  266.72                       108.32708
                  266.98                       107.73507
                  267.24                       107.26598
                   267.5                       106.94158
                  267.76                        106.7768
                  268.02                       106.77565
                  268.28                       106.92875
                  268.54                       107.21274
                   268.8                       107.59194
                  269.06                       108.02216
                  269.32                       108.45622
                  269.58                       108.85045
                  269.84                       109.17117
                   270.1                           109.4
                  270.36                       109.53695
                  270.62                       109.60078
                  270.88                       109.62652
                  271.14                       109.66054
                   271.4                       109.75413
                  271.66                       109.95661
                  271.92                       110.30896
                  272.18                       110.83881
                  272.44                       111.55753
                   272.7                       112.45963
                  272.96                        113.5246
                  273.22                       114.72094
                  273.48                         116.012
                  273.74                       117.36271
                     274                       118.74624
                  274.26                       120.14957
                  274.52                        121.5768
                  274.78                        123.0497
                  275.04                       124.60507
                   275.3                       126.28945
                  275.56                        128.1518
                  275.82                       130.23527
                  276.08                       132.56913
                  276.34                       135.16166
                   276.6                       137.99485
                  276.86                       141.02134
                  277.12                       144.16418
                  277.38                       147.31987
                  277.64                       150.36506
                   277.9                       153.16706
                  278.16                       155.59756
                  278.42                       157.54801
                  278.68                       158.94403
                  278.94                       159.75585
                   279.2                       160.00246
                  279.46                       159.74821
                  279.72                       159.09328
                  279.98                       158.16023
                  280.24                       157.08006
                   280.5                       155.98027
                  280.76                       154.97653
                  281.02                       154.16847
                  281.28                       153.63893
                  281.54                       153.45579
                   281.8                       153.67528
                  282.06                       154.34549
                  282.32                        155.5095
                  282.58                       157.20739
                  282.84                       159.47682
                   283.1                       162.35229
                  283.36                       165.86321
                  283.62                       170.03108
                  283.88                       174.86615
                  284.14                       180.36395
                   284.4                       186.50201
                  284.66                       193.23723
                  284.92                       200.50438
